entry.id,jurisdiction,intervention.category,intervention.type,primary.source.news.release.or.specific.resource,secondary.source,action,level,indigenous.population.group,date.announced,date.implemented,intervention.who,intervention.what,effective.until
AB032,Alta.,Health workforce,Health workforce — safety guidelines,"https://www.albertahealthservices.ca/topics/Page16947.aspx
",https://www.albertahealthservices.ca/assets/healthinfo/ipc/hi-ipc-emerging-issues-ncov.pdf,To be completed,Provincial/territorial,FALSE,2020-03-13,2020-03-13,Alberta Health Services,Daily Fit for Work Screening Protocol for health care staff before reporting to their workplace or unit if they have interactions with patients or staff,
AB033,Alta.,Closures,Closures — education,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-15,"Government of Alberta, Chief Medical Officer of Health, Premier","Closure of elementary, middle and high schools",
AB034,Alta.,Closures,Closures — daycares,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-15,"Government of Alberta, Chief Medical Officer of Health, Premier","Licensed child care, out-of-school care and preschool programs are closed.",
AB035,Alta.,Closures,Closures — education,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05#toc-1,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-15,"Government of Alberta, Chief Medical Officer of Health, Premier",In-person classes are cancelled for post-secondary education.,
AB036,Alta.,Health services,Health services — telemedicine/virtual care,https://www.acslpa.ca/telepractice-information-for-acslpa-members/,https://www.acslpa.ca/covid-19-information/,To be completed,Provincial/territorial,FALSE,2020-03-16,2020-03-16,Alberta College of Speech-Language Pathologists and Audiologists,Provided guidance for non-essential services delivered virtually,
AB037,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-16,2020-03-16,College of Physicians and Surgeons of Alberta,"Launched CPSA Emergency Register to allow physicians currently registered in another province or territory to temporarily work in Alberta during emergency circumstances, such as the current COVID-19 pandemic",
AB038,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://nurses.ab.ca/about/what-is-carna/news/news-story/updates-on-novel-coronavirus-covid19,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-16,2020-03-16,College and Association of Registered Nurses of Alberta,"Waived or modified registration requirements for former nurses, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 4 months",
AB039,Alta.,Closures,Closures — recreation,https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,To be completed,Provincial/territorial,FALSE,,2020-03-16,Ministry of Environment and Parks,"Restricted park facility access, keeping parks accessible. Subsequent further restrictions made.",
AB040,Alta.,Distancing,Distancing — gatherings,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-17,"Government of Alberta, Premier, Chief Medical Officer of Health",Prohibited gatherings of more than 50 people. Essential services not included.,
AB041,Alta.,State of emergency,State of emergency,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-17,2020-03-17,"Government of Alberta, Premier, Chief Medical Officer of Health",Declared a public health state of emergency,
AB042,Alta.,Closures,Closures — recreation,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-17,2020-03-17,"Government of Alberta, Premier, Chief Medical Officer of Health","Ordered closure of some publicly available institutions including arenas, museums, galleries, community centres, etc.",
AB043,Alta.,Closures,Closures — recreation,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-17,2020-03-17,"Government of Alberta, Premier, Chief Medical Officer of Health","Ordered closures of private entertainment facilities including gyms, swimming pools, casinos, etc.",
AB044,Alta.,Closures,Closures — non-essential services,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-17,2020-03-17,"Government of Alberta, Premier, Chief Medical Officer of Health","Limited capacity of sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars ordered closed.",
AB046,Alta.,Health services,Health services — delayed medical procedures ,https://www.alberta.ca/release.cfm?xID=698475F92ADBC-E588-02F3-7B986A4CD7641A45,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-18,2020-03-18,"Government of Alberta, Premier, Chief Medical Officer of Health","All non-urgent scheduled and elective surgeries are postponed. Urgent and emergent care, oncology and C-section procedures will continue.",
AB048,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://acmdtt.com/applicants/courtesy-registration/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-01,2020-03-01,Alberta College of Medical Diagnostic and Therapeutic Technologists,"Waived or modified registration requirements for former registered medical radiation technologists (MRTs), allowing them to apply for temporary registration during the pandemic; valid for 90 days",
AB049,Alta.,Contextual information,Contextual information — holiday,https://www.cbe.ab.ca/registration/calendars/Documents/2019-2020-Traditional-Calendar.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-03-20,Boards of education,Spring breaks in Alta. vary by region. Calgary Board of Education example provided.,
AB050,Alta.,Closures,Closures — health services,https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#toc-2,https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-deena-hinshaw-1.5512445,To be completed,Provincial/territorial,FALSE,2020-03-27,2020-03-27,Government of Alberta,"Suspended all non-emergency and non-critical health services provided by regulated health professionals or registered professionals including dentistry, dietitians, physiotherapy, occupational therapy, massage, podiatry, chiropractic and optometry.",
AB051,Alta.,Health services,Health services — telemedicine/virtual care,https://www.clpna.com/2020/03/common-questions-on-lpn-practice-during-covid-19-info-sheet/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-30,2020-03-30,College of Licensed Practical Nurses of Alberta,Provided standards of practice for provision of virtual care.,
AB053,Alta.,Health workforce,Health workforce — safety guidelines,https://open.alberta.ca/publications/cmoh-order-10-2020-2020-covid-19-response,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-10,2020-04-10,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health",Order restricting movement of staff members between health care facilities,
AB054,Alta.,Health services,Health services — telemedicine/virtual care,https://www.alberta.ca/release.cfm?xID=69903565330D3-E112-D2BA-74B6070F51E005BA  ,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-23,,"Government of Alberta, Minister of Health, President of the Alberta Medical Association",Added new temporary physician billing codes to the schedule of medical benefits,
AB055,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://abparamedics.com/covid-19-updates/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-17,,Alberta College of Paramedics,"Waived or modified registration requirements for former paramedics, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 3 months",
AB056,Alta.,Health workforce,Health workforce — change in practice,https://abpharmacy.ca/covid-19-guidance-pharmacists-and-pharmacy-technicians,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-17,,Alberta College of Pharmacy,"Issued guidelines on change in practice scope for pharmacists, including guidance for prescription delivery, delivery of drugs to assisted living facilities, prescribing and dispensing of drugs to treat COVID-19, administering injections to patients during the COVID-19 pandemic, providing virtual care to patients and managing patient medication supply",
AB057,Alta.,Distancing,Distancing — work from home,https://www.alberta.ca/covid-19-support-for-employers.aspx ,Not applicable,To be completed,Provincial/territorial,FALSE,,,Government of Alberta,"Encourage businesses to promote business continuity plans, working from home or remotely where possible",
AB059,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://mailchi.mp/cpsa/how-cpsa-is-dealing-with-cancelled-exams-364151,Not applicable,To be completed,Provincial/territorial,FALSE,,,College of Physicians and Surgeons of Alberta,"Granted an unrestricted licence to post-graduate trainees who have completed their training, not requiring supervision",
AB060,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,https://www.carta.ca/courtesy-register-for-covid-19.aspx,Not applicable,To be completed,Provincial/territorial,FALSE,,,College and Association of Respiratory Therapists of Alberta,"Published information on emergency registration requirements for retired/inactive/out-of-province/student respiratory therapists, allowing them to apply for temporary registration during the pandemic",
AB061,Alta.,Health workforce,Health workforce — licence reinstatement/reclassification,http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-16,2020-03-16,College of Physicians and Surgeons of Alberta,"Waived or modified registration requirements for former physician assistants, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost",
AB062,Alta.,Closures,Closures — health services,http://collegeofdietitians.ab.ca/a-message-from-the-registrar-on-covid-19/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-17,2020-03-17,College of Dietitians of Alberta — Alberta Registered Dietitians’ Association,Suspended all non-essential/non-emergency treatment and services.,
AB063,Alta.,Health services,Health services — telemedicine/virtual care,http://collegeofdietitians.ab.ca/wp-content/uploads/2020/03/Dietitians-using-Electronic-or-Virtual-Communications-1.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-24,2020-03-24,College of Dietitians of Alberta — Alberta Registered Dietitians’ Association,Provided guidance on non-essential services delivered virtually.,
AB064,Alta.,Closures,Closures — health services,https://abrda.ca/front-page/rda-practice-during-covid-19/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-26,2020-03-17,College of Alberta Dental Assistants,Suspended all non-essential/non-emergency treatment and services.,
AB065,Alta.,Health services,Health services — telemedicine/virtual care,https://www.cap.ab.ca/covid-19-updates-and-information,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-31,2020-03-27,College of Alberta Psychologists,Recommended that members participate in telepractice where possible and restrict in-person care to urgent cases only.,
AB066,Alta.,Health services,Health services — telemedicine/virtual care,https://www.dentalhealthalberta.ca/wp-content/uploads/2020/04/A-Message-for-CDA-Stakeholders.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,,Alberta Dental Association and College,Non-essential services delivered virtually with specific billing codes for teledentistry.,
AB071,Alta.,Health workforce,Health workforce — supply management,https://www.alberta.ca/release.cfm?xID=70127FF594C5C-CE00-2934-863516C3FEDF723E,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-20,2020-04-20,"Government of Alberta, Minister of Health",Announced support to increase staffing of health care aides and alleviate pressures in contracted continuing care facilities,
AB079,Alta.,Public information,Public information — projections,https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection-april-28.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-04-28,"Government of Alberta, Office of the Premier",Updated projection for cases and critical care capacity,
AB080,Alta.,Distancing,Distancing — gatherings,https://www.alberta.ca/release.cfm?xID=70207D315BDD2-0E06-E462-9E817EC8B314C55E#toc-6,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-04-29,"Government of Alberta, Chief Medical Officer of Health","Issued an exemption to the existing COVID-19 gathering restrictions, and mandated physical distancing in outdoor spaces for the Fort McMurray area due to the emergency flooding situation",
AB081,Alta.,Case management,Case management — outbreak definitions,https://open.alberta.ca/dataset/63fd3100-c64c-492e-9be0-cf62d83ad10f/resource/21817ec1-2daa-4d84-9171-c1132cb70963/download/health-cmoh-record-of-decision-cmoh-12-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-04-28,"Government of Alberta, Chief Medical Officer of Health",Updated operational and outbreak standards for long-term care and licensed supportive living facilities. The update is specific to how and when the resident should be tested to detect a possible outbreak as well as when an outbreak occurs.,
AB082,Alta.,Case management,Case management — other,https://www.alberta.ca/release.cfm?xID=70205D0F7B98C-DB8F-FE95-B326545F47729166,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-04-29,"Government of Alberta, Chief Medical Officer of Health",Announced new strategy in place involving prevention and preparedness; rapid response and timely notification of public health; and outbreak management using surveillance data and implementing setting-specific measures,
AB083,Alta.,Public information,Public information — pandemic response plans,https://www.alberta.ca/release.cfm?xID=70217037B8E9C-C319-32CC-240D33487895E4F7,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-30,2020-04-30,"Government of Alberta, Office of the Premier",Released first preliminary plans to reopen closed businesses,
AB084,Alta.,Case management,Case management — contact tracing,https://www.alberta.ca/release.cfm?xID=702323575C511-AE93-C894-E1697D246FD90B38,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-01,2020-05-01,"Government of Alberta, Chief Medical Officer of Health",Launching of the new ABTraceTogether app to enhance current manual tracing processes and help Albertans prevent community spread by quickly alerting people who may be at risk,
AB085,Alta.,Health workforce,Health workforce — change in practice,https://www.alberta.ca/release.cfm?xID=71250C5D71902-FADC-21BD-C052BEC9A12ED2A8,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-04,2020-05-04,"Government of Alberta, Minister of Health",Modified regulations to allow nurse practitioners to provide expanded care to nursing home residents,
AB087,Alta.,Health services,Health services — equipment,https://www.alberta.ca/release.cfm?xID=71270025A4DC1-FB15-F194-0E10491C5AB8AD29,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-05,2020-05-05,"Government of Alberta, Officer of the Premier, Minister of Health, Alberta Health Services","Announced investment of $1.7 million into virus detecting equipment and technology, doubling Alberta’s maximum capacity for testing from 7,000 to 16,000 tests per day by June through investing in virus detecting equipment and technology",
AB088,Alta.,Health workforce,Health workforce — safety guidelines,https://open.alberta.ca/dataset/2410b30f-2146-40b1-9a9f-a9010c702b0a/resource/41db09c6-612f-4363-89ea-b6e814dfcb30/download/health-cmoh-record-of-decision-cmoh-13-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-04-28,"Government of Alberta, Chief Medical Officer of Health",Ordered restrictions on movement of staff members in residential addiction treatment service facilities. This order also includes information on personal protective equipment.,
AB089,Alta.,Health services,Health services — visitors,https://open.alberta.ca/dataset/1a2011e5-fc79-43b4-aab0-1c276b16b99b/resource/35ab8044-8c19-480a-9799-ef4f9b95c376/download/health-cmoh-record-of-decision-cmoh-14-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-04-28,"Government of Alberta, Chief Medical Officer of Health",Amended previous order on limits on guest visitation at health care facilities in Alberta to allow for outdoor visits with a designated essential visitor and 1 other person (maximum group of 3) and to allow for visitation at end of life,
AB090,Alta.,Openings,Openings — recreation,https://open.alberta.ca/dataset/780f1365-f497-4cec-92f4-d8b5b7b506a5/resource/2e57b700-a629-4b0e-a278-a1d7400f4c87/download/health-cmoh-record-of-decision-cmoh-15-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-01,2020-05-01,"Government of Alberta, Chief Medical Officer of Health","Ordered removal of prohibition from attending a golf course, for the purpose of playing golf",
AB091,Alta.,Openings,Openings — health services,https://open.alberta.ca/dataset/2a615f78-aa9e-48d9-a323-9f2c08b07667/resource/fcca7551-9a32-4ec0-9545-aa5163f8a284/download/health-cmoh-record-of-decision-cmoh-16-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-03,2020-05-04,"Government of Alberta, Chief Medical Officer of Health","Announced the resumption of non-essential health services for Albertans. For regulated health professionals, the college of each will be responsible for providing guidelines to its members who operate community health care clinics.",
AB092,Alta.,Openings,Openings — recreation,https://open.alberta.ca/dataset/402b7ea1-be63-4ce6-94a2-ea5e4383031d/resource/23cc0115-9b3a-45f6-91e3-f5219d7cd9bd/download/health-cmoh-record-of-decision-cmoh-17-2020.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-05,2020-05-06,"Government of Alberta, Chief Medical Officer of Health",Removed the prohibition from attending an outdoor shooting range,
AB093,Alta.,Health workforce,Health workforce — safety guidelines,https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-04,2020-05-04,Alberta College of Speech-Language Pathologists and Audiologists,Published a guide describing the legislated obligations that apply to speech-language pathologists and audiologists as they reopen their practices,
AB094,Alta.,Openings,Openings — health services,https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-30,2020-04-30,Alberta College of Speech-Language Pathologists and Audiologists,"Announced that non-essential services should not resume unless several conditions are met: new guidelines for reopened services are published; a sufficient supply of cleaners, sanitizers and personal protective equipment is acquired; and employers must meet occupational health and safety requirements",
AB095,Alta.,Health services,Health services — telemedicine/virtual care,https://albertachiro.com/ACAC/Practice_Resources/Temporary_telehealth_permission.aspx,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-23,2020-04-23,Alberta College and Association of Chiropractors,Expanded telehealth permissions so that chiropractors can conduct virtual consults with new patients. Chiropractors must first receive permission from college.,
AB096,Alta.,Health workforce,Health workforce — safety guidelines,https://pro-bee-beepro-messages.s3.amazonaws.com/443036/423016/822241/5111655.html?modified=1588535288977,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-03,2020-05-04,Alberta College and Association of Chiropractors,Approved Alberta College and Association of Chiropractors Pandemic Practice Directive by the province. Chiropractors may reopen only if they are able to implement the directive.,
AB097,Alta.,Health services,Health services — telemedicine/virtual care,https://www.dentalhealthalberta.ca/Covid-19-info/other-resources/adac-communications/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-03-15,Alberta Dental Association and College,Introduced a temporary billing code for remote consultation services — retroactive to 2020-03-15.,
AB098,Alta.,Openings,Openings — health services,https://collegeofoptometrists.ab.ca/wp-content/uploads/2020/05/Return_to_Routine_Optometry_Care.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-04,2020-05-04,Alberta College of Optometrists,Issued a directive allowing optometry clinics to offer routine care. The City of Lloydminster is not included as is it governed under the Saskatchewan Public Health Act and must continue to offer emergency/urgent care services only.,
