"date","incidence"
2020-08-12,86
2020-08-13,86
2020-08-14,75
2020-08-15,0
2020-08-16,0
2020-08-17,239
2020-08-18,83
2020-08-19,68
2020-08-20,80
2020-08-21,89
2020-08-22,1
2020-08-23,0
2020-08-24,270
2020-08-25,58
2020-08-26,62
2020-08-27,68
2020-08-28,124
2020-08-29,0
2020-08-30,0
2020-08-31,295
2020-09-01,58
2020-09-02,103
2020-09-03,89
2020-09-04,121
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,428
2020-09-09,100
2020-09-10,139
2020-09-11,132
2020-09-12,0
2020-09-13,0
2020-09-14,317
2020-09-15,97
2020-09-16,122
2020-09-17,165
2020-09-18,179
2020-09-19,0
2020-09-20,0
2020-09-21,366
2020-09-22,96
2020-09-23,91
2020-09-24,148
2020-09-25,98
2020-09-26,0
2020-09-27,0
2020-09-28,267
2020-09-29,105
2020-09-30,125
2020-10-01,82
2020-10-02,161
2020-10-03,0
2020-10-04,0
2020-10-05,358
2020-10-06,102
2020-10-07,115
2020-10-08,110
2020-10-09,119
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,549
2020-10-14,158
2020-10-15,142
2020-10-16,155
2020-10-17,0
2020-10-18,0
2020-10-19,498
2020-10-20,167
2020-10-21,203
2020-10-22,274
2020-10-23,223
2020-10-24,0
2020-10-25,0
2020-10-26,817
2020-10-27,217
2020-10-28,287
2020-10-29,234
2020-10-30,272
2020-10-31,0
2020-11-01,0
2020-11-02,1120
2020-11-03,299
2020-11-04,335
2020-11-05,425
2020-11-06,589
2020-11-07,567
2020-11-08,0
2020-11-09,998
2020-11-10,525
2020-11-11,0
2020-11-12,1129
2020-11-13,617
2020-11-14,0
2020-11-15,0
2020-11-16,1959
2020-11-17,717
2020-11-18,761
2020-11-19,536
2020-11-20,516
2020-11-21,0
2020-11-22,0
2020-11-23,1933
2020-11-24,941
2020-11-25,738
2020-11-26,887
2020-11-27,911
2020-11-28,0
2020-11-29,0
2020-11-30,2354
2020-12-01,656
2020-12-02,834
2020-12-03,693
2020-12-04,711
2020-12-05,0
2020-12-06,0
2020-12-07,2020
2020-12-08,566
2020-12-09,619
2020-12-10,723
2020-12-11,737
2020-12-12,0
2020-12-13,0
2020-12-14,2146
2020-12-15,520
2020-12-16,640
2020-12-17,673
2020-12-18,624
2020-12-19,0
2020-12-20,0
2020-12-21,1666
2020-12-22,444
2020-12-23,517
2020-12-24,582
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,2206
2020-12-30,485
2020-12-31,690
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,2211
2021-01-05,428
2021-01-06,625
2021-01-07,761
2021-01-08,617
2021-01-09,0
2021-01-10,0
2021-01-11,1475
2021-01-12,446
2021-01-13,519
2021-01-14,536
2021-01-15,509
2021-01-16,0
2021-01-17,0
2021-01-18,1330
2021-01-19,465
2021-01-20,500
2021-01-21,564
2021-01-22,508
2021-01-23,0
2021-01-24,0
2021-01-25,1344
2021-01-26,406
2021-01-27,485
2021-01-28,546
2021-01-29,514
2021-01-30,0
2021-01-31,0
2021-02-01,1158
2021-02-02,429
2021-02-03,414
2021-02-04,465
2021-02-05,471
2021-02-06,0
2021-02-07,0
2021-02-08,1236
2021-02-09,435
2021-02-10,469
2021-02-11,449
2021-02-12,445
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,1533
2021-02-17,427
2021-02-18,617
2021-02-19,508
2021-02-20,0
2021-02-21,0
2021-02-22,1428
2021-02-23,559
2021-02-24,456
2021-02-25,395
2021-02-26,521
2021-02-27,0
2021-02-28,0
2021-03-01,1478
2021-03-02,695
2021-03-03,542
2021-03-04,564
2021-03-05,634
2021-03-06,0
2021-03-07,0
2021-03-08,1462
2021-03-09,550
2021-03-10,531
2021-03-11,569
2021-03-12,648
2021-03-13,0
2021-03-14,0
2021-03-15,1506
2021-03-16,556
2021-03-17,498
2021-03-18,622
2021-03-19,737
2021-03-20,0
2021-03-21,0
2021-03-22,1785
2021-03-23,682
2021-03-24,716
2021-03-25,800
2021-03-26,908
2021-03-27,0
2021-03-28,0
2021-03-29,2518
2021-03-30,840
2021-03-31,1013
2021-04-01,832
2021-04-02,0
2021-04-03,2151
2021-04-04,0
2021-04-05,1889
2021-04-06,1068
2021-04-07,997
2021-04-08,1293
2021-04-09,1262
2021-04-10,0
2021-04-11,0
2021-04-12,3289
2021-04-13,873
2021-04-14,1168
2021-04-15,1205
2021-04-16,1005
2021-04-17,0
2021-04-18,0
2021-04-19,2960
2021-04-20,849
2021-04-21,862
2021-04-22,1006
2021-04-23,1001
2021-04-24,0
2021-04-25,0
2021-04-26,2491
2021-04-27,799
2021-04-28,841
2021-04-29,853
2021-04-30,740
2021-05-01,0
2021-05-02,0
2021-05-03,2174
