"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Division No. 1, Subd. A","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3517",845.40151,731,726,353,180,55,40,20,0,20,15,10,0,115,30,115,20,0,0.9,2
"Long Harbour-Mount Arlington Heights","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3532",19.11971,185,163,84,30,25,15,10,0,5,5,0,0,25,45,45,0,0,10.1,2
"Arnold's Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3515",4.90114,949,537,392,155,115,45,55,10,25,15,10,0,125,140,155,30,10,198.2,2
"Come By Chance","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3572",41.3066,228,125,95,30,35,25,10,0,10,5,0,0,30,35,30,10,0,5.7,2
"Norman's Cove-Long Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3387",20.35875,666,339,281,130,70,40,15,15,25,20,5,5,80,60,110,20,10,33.3,2
"Chapel Arm","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3434",28.99954,457,244,192,80,60,30,20,10,15,5,5,5,55,45,80,0,10,16.3,2
"Division No. 1, Subd. Y","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3405",214.60334,1118,857,473,205,135,60,55,20,30,15,10,0,130,130,270,10,0,5.9,2
"Whitbourne","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3295",25.95587,890,527,376,135,105,50,45,10,45,25,15,5,120,145,130,10,0,41.4,2
"Division No. 1, Subd. E","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3388",247.61531,2943,1575,1229,530,360,175,150,35,95,70,20,5,330,295,510,30,20,13.4,2
"Whiteway","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3562",25.37588,373,165,135,70,45,25,20,5,5,5,0,0,25,0,80,15,10,16.5,2
"Heart's Delight-Islington","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3626",29.17767,674,388,307,125,80,50,25,5,20,15,0,0,90,20,120,0,0,24.7,2
"Division No. 1, Subd. F","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3834",194.96848,548,352,240,115,50,20,30,5,15,15,0,5,80,10,105,0,10,3.1,2
"Heart's Content","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3606",72.37706,340,217,162,80,30,20,15,0,10,5,0,5,55,30,60,0,0,5.4,3
"Winterton","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3711",11.63185,450,277,197,85,45,30,20,5,15,15,5,0,65,100,70,0,10,42.7,2
"Hant's Harbour","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3781",34.43866,329,210,155,75,30,20,10,0,15,15,0,0,35,20,65,0,0,10.2,1
"Division No. 1, Subd. G","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.365",334.09278,1866,1337,855,340,190,100,75,15,75,55,15,10,325,60,375,10,25,6,2
"Old Perlican","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.379",15.33444,633,288,238,90,75,30,40,5,25,20,5,0,60,100,55,15,0,43.7,2
"Bay de Verde","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3863",13.38067,392,216,173,65,40,25,15,5,25,15,5,5,65,80,20,0,0,29.5,1
"Small Point-Adam's Cove-Blackhead-Broad Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3565",23.8017,387,308,171,70,45,25,15,5,10,10,0,0,60,10,75,10,0,17.4,2
"Division No. 1, Subd. H","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3344",61.27496,390,227,161,80,40,20,10,10,20,5,5,5,35,0,95,10,10,6.9,2
"Salmon Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.346",4.75126,680,329,276,120,85,40,35,10,25,20,5,0,65,10,155,0,0,161.6,2
"Victoria","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3379",19.16427,1800,810,741,265,235,115,100,10,110,85,20,10,195,50,430,15,0,102.1,2
"Carbonear","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3344",11.91673,4858,2166,1982,645,560,290,210,65,250,155,65,25,700,950,605,25,45,411.5,2
"Division No. 1, Subd. I","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3344",73.99822,299,150,122,55,40,15,20,5,5,5,0,0,25,10,110,0,0,4.6,2
"Bryant's Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3445",4.91264,395,162,148,55,60,30,20,5,15,10,0,0,35,0,100,0,10,80.9,2
"Harbour Grace","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3325",35.92866,2995,1469,1335,495,315,155,140,20,165,110,40,20,470,230,575,25,30,88.8,2
"Upper Island Cove","CA","Newfoundland and Labrador","Eastern Regional Health Authority","0.3348",8.1019,1561,685,632,230,205,95,85,20,70,50,20,5,180,40,365,15,10,199,4
"Bishop's Cove","CA","Newfoundland and Labrador","Eastern Regional Health Authority","0.3336",1.88808,287,147,125,50,35,20,15,0,10,10,0,0,35,0,85,0,0,152,4
"Spaniard's Bay","CA","Newfoundland and Labrador","Eastern Regional Health Authority","0.3287",71.52372,2653,1180,1089,375,350,160,140,45,120,75,30,10,335,100,640,20,40,40.4,4
"Bay Roberts","CA","Newfoundland and Labrador","Eastern Regional Health Authority","0.3261",24.7027,6012,2658,2413,815,785,335,360,90,295,170,100,30,675,835,985,20,45,249.9,4
"Division No. 1, Subd. L","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3351",8.56827,928,487,382,160,105,35,55,15,40,25,10,5,95,50,180,0,0,114.8,3
"Division No. 1, Subd. M","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3176",162.70073,1073,1440,461,190,115,50,45,15,60,45,5,5,135,0,230,10,10,7.7,3
"North River","CA","Newfoundland and Labrador","Eastern Regional Health Authority","0.3232",4.78135,570,286,242,100,65,35,25,5,25,20,5,0,75,15,100,0,15,137.7,4
"Clarke's Beach","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3275",13.48624,1558,642,555,205,150,65,60,20,65,45,20,5,185,55,335,10,0,122.6,3
"South River","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3224",6.40519,647,335,286,120,80,50,30,0,30,25,5,0,75,35,220,0,10,107.1,3
"Cupids","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3233",11.51299,743,364,311,125,80,35,35,10,35,25,10,5,95,0,195,10,0,67.4,3
"Division No. 1, Subd. N","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3241",13.91405,372,300,157,60,50,30,15,5,15,10,10,5,45,0,75,0,0,28.5,3
"Brigus","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3282",11.69611,723,446,317,120,80,40,40,5,40,20,15,0,100,45,145,0,15,62.5,3
"Division No. 1, Subd. O","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3241",98.22452,663,1170,305,125,70,45,20,5,30,20,5,5,110,15,160,0,0,8.4,3
"Colliers","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3218",28.98148,654,424,277,105,70,40,30,5,40,30,10,5,75,20,150,15,10,24.9,3
"Conception Harbour","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3234",22.48616,685,392,298,80,75,45,20,10,55,35,10,10,120,20,195,10,0,31.7,3
"Avondale","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3177",31.32802,641,373,294,90,70,30,30,10,30,15,15,5,115,15,165,10,0,21.4,3
"Harbour Main-Chapel's Cove-Lakeview","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3189",24.15305,1067,509,436,130,150,75,55,20,50,40,10,5,145,10,330,20,10,50.6,3
"Holyrood","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3046",137.7163,2463,1106,975,365,320,150,125,40,85,60,30,0,285,185,550,20,10,19.6,3
"Division No. 1, Subd. R","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3352",16.95083,322,188,165,55,30,20,5,0,15,10,5,0,85,0,30,0,0,19.1,3
"Wabana","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.3351",14.57823,2146,1150,1025,250,155,90,50,15,230,130,75,25,495,220,170,10,0,148,3
"Division No. 1, Subd. D","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3077",336.09388,88,142,38,15,10,10,0,0,5,5,0,0,15,0,35,0,0,0.3,2
"Division No. 2, Subd. E","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5159",158.20328,246,296,107,50,25,10,10,0,10,10,0,0,30,0,45,10,10,1.8,2
"Lewin's Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5047",6.57509,544,253,232,85,75,40,30,10,25,20,5,5,55,0,140,30,0,83.4,2
"Burin","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5047",35.60919,2315,1145,989,360,305,165,110,30,100,75,20,5,275,285,255,70,55,67.8,2
"St. Lawrence","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5665",36.31066,1192,601,477,165,140,75,55,15,65,40,20,0,140,200,70,30,25,33.6,2
"Lawn","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5678",3.70484,624,298,260,80,85,35,40,5,25,20,0,5,85,70,30,30,10,172.8,2
"Lord's Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5646",34.02511,162,96,78,30,20,10,5,0,5,5,0,0,35,15,30,20,10,5.2,2
"Fortune","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5069",55.48359,1401,782,629,280,145,70,55,20,50,35,15,5,180,155,115,35,10,25.5,2
"Grand Bank","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5056",17.27502,2310,1158,1039,455,235,135,85,15,70,50,15,5,315,400,145,50,20,136.1,2
"Garnish","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.5219",43.27251,568,292,246,120,65,35,25,5,15,15,5,0,55,25,70,20,10,14.5,1
"Marystown","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5041",67.87065,5316,2383,2209,760,650,350,235,65,280,180,80,20,700,1075,280,230,75,85.8,2
"Fox Cove-Mortier","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5548",27.84237,295,155,124,35,40,20,15,5,10,10,5,0,40,0,95,10,0,11.5,2
"Division No. 2, Subd. I","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5745",545.49411,136,107,59,30,10,10,5,5,5,5,5,0,20,0,10,10,10,0.3,2
"Bay L'Argent","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5566",3.67722,241,132,109,50,25,15,10,0,10,10,5,0,30,0,25,10,10,65.5,2
"Division No. 2, Subd. C","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.506",1646.8601,566,498,252,105,65,45,20,5,25,15,5,0,70,30,50,35,0,0.4,2
"Rushoon","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.5411",6.43113,245,127,110,45,25,15,10,0,20,10,0,5,30,10,0,10,0,39.8,3
"Parkers Cove","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5409",5.0412,248,127,103,35,35,10,20,5,10,10,5,0,30,20,10,25,0,51.1,2
"Terrenceville","Strong","Newfoundland and Labrador","Eastern Regional Health Authority","0.5356",15.14867,482,239,202,65,60,40,20,5,25,15,10,5,55,25,15,25,10,32.9,3
"Red Harbour","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.515",11.32923,189,83,78,35,25,5,10,5,5,5,0,0,10,0,20,10,10,16.7,2
"St. Bernard's-Jacques Fontaine","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5557",16.94793,433,220,190,80,55,35,15,5,10,10,0,0,55,15,15,25,20,26.2,2
"Division No. 2, Subd. K","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3697",1181.87831,558,447,258,130,50,30,15,5,20,15,5,0,70,10,0,95,10,0.5,2
"St. Jacques-Coomb's Cove","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.7201",89.2562,588,310,247,90,80,45,25,5,20,15,10,0,70,85,20,10,0,7,1
"Belleoram","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7151",2.10938,374,175,152,50,45,20,15,10,20,10,10,5,45,40,20,0,0,177.3,2
"Harbour Breton","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7151",14.71065,1634,703,658,265,220,130,70,20,60,40,15,5,180,370,20,60,15,118.9,2
"Seal Cove (Fortune Bay)","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7168",2.47173,242,134,105,70,25,15,5,5,0,0,0,0,15,10,30,0,0,100.1,2
"Division No. 3, Subd. D","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5776",8236.03928,262,529,123,65,25,20,5,0,5,0,0,0,35,30,40,10,0,0,2
"Milltown-Head of Bay d'Espoir","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5794",25.15923,749,381,341,170,75,50,15,10,30,25,5,5,85,90,70,20,0,29.9,2
"St. Alban's","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.6997",20.86169,1186,604,532,200,140,65,50,20,35,15,15,0,175,255,60,25,0,56.9,1
"Division No. 3, Subd. F","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.7142",2765.56362,119,188,53,25,15,5,5,0,0,0,0,0,10,15,0,0,10,0,2
"Ramea","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.6665",1.98516,447,277,216,120,45,25,15,5,10,10,0,0,55,45,15,15,10,236,2
"Burgeo","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.5835",32.29187,1307,655,615,305,130,95,30,5,40,35,10,0,170,210,15,50,10,41.7,1
"Division No. 3, Subd. H","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.4675",710.10628,707,313,291,125,95,55,30,5,25,20,5,0,70,15,145,30,15,1.1,1
"Isle aux Morts","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.512",8.45379,664,331,290,135,75,45,25,5,30,25,5,0,70,15,95,20,30,86.7,1
"Burnt Islands","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.537",10.43213,622,257,242,110,85,45,30,5,20,20,0,0,50,25,45,35,10,65.3,2
"Channel-Port aux Basques","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.4728",41.52906,4067,1954,1851,685,430,255,155,25,195,120,55,15,670,940,45,125,45,104.9,1
"Division No. 3, Subd. J","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5521",698.71351,51,27,26,15,0,0,0,0,0,5,0,0,5,0,10,10,0,0.1,2
"Division No. 4, Subd. A","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4752",1264.16377,1700,1375,788,360,145,80,55,10,80,60,15,5,255,170,10,150,35,1.4,2
"Division No. 4, Subd. B","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4665",1916.58817,1174,948,580,245,85,65,20,5,70,40,20,5,230,115,15,35,25,0.6,2
"Division No. 4, Subd. C","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4264",2592.46978,747,490,345,100,60,40,15,10,75,50,15,10,145,15,65,15,10,0.3,2
"St. George's","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4492",25.92607,1203,597,541,165,120,70,35,15,100,65,20,15,225,80,145,30,30,46.6,2
"Division No. 4, Subd. D","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4132",1180.90766,860,646,382,145,90,50,30,5,40,25,10,0,140,10,175,45,0,0.7,2
"Stephenville Crossing","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4194",32.10923,1719,833,774,235,155,100,50,10,120,75,35,5,320,175,145,30,25,55.1,2
"Stephenville","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.422",38.6547,6623,3366,3129,870,555,290,220,50,505,315,130,65,1470,1585,200,120,65,185.6,2
"Kippens","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4241",14.70468,2008,832,800,325,235,105,115,20,85,50,25,15,220,15,605,45,45,140.3,2
"Port au Port East","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4258",24.85794,579,286,267,95,55,25,25,5,40,25,10,5,105,0,125,0,10,23.4,2
"Division No. 4, Subd. E","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.463",298.80916,1957,1027,906,250,205,115,65,25,130,95,30,5,415,60,240,40,30,6.6,2
"Cape St. George","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4799",33.48956,853,410,375,130,85,45,35,5,65,45,10,10,125,70,55,0,15,25.5,2
"Lourdes","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.484",8.10153,465,234,215,70,40,25,15,0,35,20,10,5,95,40,25,10,0,57.4,2
"Port au Port West-Aguathuna-Felix Cove","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4397",16.93474,449,222,212,90,40,20,10,5,20,15,10,0,80,0,70,15,25,26.9,2
"Division No. 5, Subd. A","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.3955",2885.87308,276,407,115,60,25,15,5,5,10,5,5,5,40,0,60,10,10,0.1,2
"Division No. 5, Subd. G","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.5101",3700.77947,468,459,224,115,40,30,10,5,15,10,0,0,60,25,15,0,10,0.1,1
"Deer Lake","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4079",82.46865,5249,2300,2164,795,600,290,235,75,270,165,75,30,700,1140,275,100,85,71.7,2
"Jackson's Arm","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5214",7.51742,284,172,128,50,35,20,10,5,5,5,0,0,45,20,40,15,0,40.4,2
"Division No. 5, Subd. E","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4231",1287.60391,216,297,110,60,10,10,5,0,5,0,0,0,35,0,15,0,0,0.2,2
"Hampden","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4575",34.25524,429,218,175,85,50,20,20,5,15,10,0,0,40,50,10,15,10,13,2
"Reidville","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4157",61.25716,509,219,199,85,70,30,25,10,15,10,5,5,35,0,145,15,0,8.7,2
"Division No. 5, Subd. F","CA","Newfoundland and Labrador","Western Regional Health Authority","0.382",985.89713,823,687,330,140,110,50,45,15,25,15,5,0,80,10,290,35,10,1,4
"Steady Brook","CA","Newfoundland and Labrador","Western Regional Health Authority","0.3859",1.23656,444,204,182,75,55,20,25,10,10,10,5,0,55,0,205,20,0,364.4,4
"Pasadena","CA","Newfoundland and Labrador","Western Regional Health Authority","0.3941",50.36244,3620,1582,1480,640,460,230,190,40,140,95,35,5,355,250,760,85,40,73.6,4
"Cormack","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.4225",133.99285,597,288,248,120,60,30,25,5,20,5,5,5,75,35,120,0,10,4.5,2
"Gillams","CA","Newfoundland and Labrador","Western Regional Health Authority","0.4326",6.7079,410,190,166,55,55,25,25,5,25,15,5,0,60,0,100,10,0,61.2,4
"Massey Drive","CA","Newfoundland and Labrador","Western Regional Health Authority","0.3717",2.74106,1632,624,610,170,270,120,125,25,65,40,20,5,155,25,735,30,30,658.7,4
"Corner Brook","CA","Newfoundland and Labrador","Western Regional Health Authority","0.3745",153.89551,19806,9395,8764,2765,2040,1055,770,210,1095,725,290,75,3760,6425,365,290,105,133.6,4
"Humber Arm South","CA","Newfoundland and Labrador","Western Regional Health Authority","0.405",65.65066,1599,721,675,235,195,110,75,5,90,65,20,5,240,155,335,50,0,24.6,4
"McIvers","CA","Newfoundland and Labrador","Western Regional Health Authority","0.4504",12.07451,538,236,213,95,70,30,25,15,10,10,5,0,60,20,150,20,0,44.6,4
"Cox's Cove","Strong","Newfoundland and Labrador","Western Regional Health Authority","0.4629",7.25545,688,338,294,120,70,30,30,5,40,20,15,5,90,55,95,15,0,95.4,3
"Lark Harbour","Strong","Newfoundland and Labrador","Western Regional Health Authority","0.4641",12.96212,522,297,217,90,55,30,25,5,20,15,5,5,70,40,70,0,0,40.4,3
"Meadows","CA","Newfoundland and Labrador","Western Regional Health Authority","0.431",3.79354,626,270,235,95,75,40,30,5,25,15,5,5,60,10,175,10,10,165.1,4
"Hughes Brook","CA","Newfoundland and Labrador","Western Regional Health Authority","0.39",1.64602,255,94,91,40,35,15,20,0,15,10,0,0,15,0,75,0,0,159.5,4
"Irishtown-Summerside","CA","Newfoundland and Labrador","Western Regional Health Authority","0.414",11.91052,1418,616,571,230,165,95,50,15,60,40,20,5,175,55,455,30,15,119.2,4
"Mount Moriah","CA","Newfoundland and Labrador","Western Regional Health Authority","0.3765",15.84265,746,308,301,110,100,55,40,10,30,20,10,0,90,10,260,15,0,47.5,4
"York Harbour","Strong","Newfoundland and Labrador","Western Regional Health Authority","0.4491",14.09333,344,246,150,60,45,20,15,5,10,5,5,0,45,10,55,0,10,24.8,3
"Division No. 6, Subd. D","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4299",4546.04226,682,769,302,180,70,40,25,5,15,10,5,0,60,0,90,55,0,0.2,3
"Norris Arm","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4172",47.02343,737,392,348,145,65,35,25,5,40,30,10,0,110,60,70,20,15,17.8,3
"Division No. 6, Subd. E","CA","Newfoundland and Labrador","Central Regional Health Authority","0.4258",2530.67489,194,631,89,45,20,10,5,0,5,5,0,0,20,0,55,10,0,0.1,4
"Gander","CA","Newfoundland and Labrador","Central Regional Health Authority","0.4102",109.16083,11688,5167,4887,1620,1425,665,615,145,515,325,165,30,1690,4425,50,260,65,112.1,4
"Appleton","CA","Newfoundland and Labrador","Central Regional Health Authority","0.4038",6.3954,574,246,239,110,70,40,30,5,15,10,5,0,60,15,190,25,0,89.8,4
"Glenwood","CA","Newfoundland and Labrador","Central Regional Health Authority","0.4154",7.03734,778,362,327,145,85,40,35,5,40,20,10,5,80,20,190,25,10,112.5,4
"Division No. 6, Subd. C","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.3933",4423.64075,681,829,299,180,55,25,20,5,15,10,0,0,80,10,125,30,10,0.2,3
"Northern Arm","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.434",27.35187,426,218,186,100,35,10,25,5,10,10,5,0,50,10,85,10,10,16.6,3
"Grand Falls-Windsor","CA","Newfoundland and Labrador","Central Regional Health Authority","0.3974",57.6419,14171,6406,6091,2130,1575,805,600,170,710,470,175,65,2145,4095,350,255,65,259.2,4
"Bishop's Falls","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.3915",28.68232,3156,1502,1396,555,335,200,115,20,155,90,45,15,460,330,545,85,15,112.2,3
"Peterview","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4395",6.72249,828,313,308,145,95,45,30,25,35,20,10,5,70,30,155,30,0,123.2,3
"Botwood","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4203",15.3908,2875,1302,1229,495,285,140,110,35,140,85,45,15,400,425,270,55,30,191.1,3
"Badger","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4157",2.11774,704,325,302,140,80,35,35,5,25,20,10,0,85,75,130,0,10,359.2,3
"Buchans","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5449",4.94537,642,417,331,140,45,25,20,0,30,20,5,5,130,55,20,20,0,131.5,2
"Division No. 7, Subd. M","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3533",473.76911,1966,1183,889,435,190,110,70,10,75,55,20,5,250,30,265,230,30,4.3,1
"Division No. 7, Subd. L","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.4943",257.19734,1232,728,528,230,145,90,45,10,40,30,10,5,160,140,215,50,0,5.1,1
"Division No. 7, Subd. K","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3623",550.33797,1275,707,532,235,150,75,60,10,45,25,10,5,160,15,345,75,0,2.6,1
"Clarenville","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3593",147.66744,6291,2809,2500,820,845,385,375,85,250,140,90,20,775,1885,120,365,30,44.7,1
"Elliston","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5082",10.05877,308,201,142,45,30,25,10,5,20,15,0,5,55,10,40,0,0,30.7,2
