HA_code,province,HA,source,
1308,New Brunswick,Zone 1 (Moncton area),all_cmas.csv,
1309,New Brunswick,Zone 7 (Miramichi area),all_cas.csv,
1310,New Brunswick,Zone 3 (Fredericton area),all_cas.csv,
1311,New Brunswick,Zone 3 (Fredericton area),online,
1312,New Brunswick,Zone 3 (Fredericton area),online,
1313,New Brunswick,Zone 4 (Edmunston area),all_cas.csv,
1314,New Brunswick,Zone 5 (Campbellton area),all_cas.csv,
1315,British Columbia,Zone 6 (Bathurst area),all_cas.csv,
2360,Quebec,Region de Lanaudiere,all_cmas.csv,
2401,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,online,
2402,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,online,
2403,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,online,
2404,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,online,
2405,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,online,
2406,Quebec,Region de la Gaspesie-l’Iles-de-la-Madeleine,all_cas.csv,
2407,Quebec,Region du Bas-Saint-Laurent,online,
2408,Quebec,Region du Bas-Saint-Laurent,all_cas.csv,
2409,Quebec,Region du Bas-Saint-Laurent,online,
2410,Quebec,Region du Bas-Saint-Laurent,all_cas.csv,
2411,Quebec,Region du Bas-Saint-Laurent,online,
2412,Quebec,Region du Bas-Saint-Laurent,all_cas.csv,
2413,Quebec,Region du Bas-Saint-Laurent,online,
2414,Quebec,Region du Bas-Saint-Laurent,online,
2415,Quebec,Region de la Capitale-Nationale,online,
2416,Quebec,Region de la Capitale-Nationale,online,
2417,Quebec,Region de la Chaudiere-Appalaches,online,
2418,Quebec,Region de la Chaudiere-Appalaches,online,
2419,Quebec,Region de la Chaudiere-Appalaches,online,
2421,Quebec,Region de la Capitale-Nationale,online,
2426,Quebec,Region de la Chaudiere-Appalaches,online,
2427,Quebec,Region de la Chaudiere-Appalaches,online,
2428,Quebec,Region de la Chaudiere-Appalaches,online,
2429,Quebec,Region de la Chaudiere-Appalaches,online,
2430,Quebec,Region de l’Estrie,online,
2431,Quebec,Region de la Chaudiere-Appalaches,all_cas.csv,
2432,Quebec,Region de la Mauricie et du Centre-du-Quebec,online,
2433,Quebec,Region de la Chaudiere-Appalaches,online,
2434,Quebec,Region de la Capitale-Nationale,online,
2435,Quebec,Region de la Mauricie et du Centre-du-Quebec,online,
2437,Quebec,Region de la Mauricie et du Centre-du-Quebec,online,
2438,Quebec,Region de la Mauricie et du Centre-du-Quebec,online,
2439,Quebec,Region du Saguenay—Lac-Saint-Jean,all_cas.csv,
2439,Quebec,Region de la Mauricie et du Centre-du-Quebec,all_cas.csv,
2440,Quebec,Region de l’Estrie,online,
2441,Quebec,Region de l’Estrie,online,
2442,Quebec,Region de l’Estrie,online,
2444,Quebec,Region de l’Estrie,online,
2445,Quebec,Region de l’Estrie,online,
2446,Quebec,Region de l’Estrie,all_cas.csv,
2447,Quebec,Region de l’Estrie,online,
2448,Quebec,Region de la Monteregie,online,
2449,Quebec,Region de la Mauricie et du Centre-du-Quebec,all_cas.csv,
2450,Quebec,Region de la Mauricie et du Centre-du-Quebec,online,
2451,Quebec,Region de la Monteregie,all_cas.csv,
2452,Quebec,Region de Lanaudiere,all_cmas.csv,
2453,Quebec,Region de la Monteregie,online,
2454,Quebec,Region de la Monteregie,all_cas.csv,
2455,Quebec,Region de la Monteregie,all_cmas.csv,
2456,Quebec,Region de la Monteregie,online,
2457,Quebec,Region de la Monteregie,all_cmas.csv,
2458,Quebec,Region de la Monteregie,all_cmas.csv,
2459,Quebec,Region de la Monteregie,all_cmas.csv,
2460,Quebec,Region de la Chaudiere-Appalaches,all_cas.csv,
2460,Quebec,Region de Lanaudiere,all_cmas.csv,
2460,Quebec,Region de Lanaudiere,all_cmas.csv,
2461,Quebec,Region de Lanaudiere,all_cas.csv,
2462,Quebec,Region des Laurentides,all_cmas.csv,
2463,Quebec,Region de Lanaudiere,online,
2464,Quebec,Region de Lanaudiere,all_cmas.csv,
2465,Quebec,Region de Laval,all_cmas.csv,
2466,Quebec,Region de Montreal,all_cmas.csv,
2467,Quebec,Region de la Monteregie,all_cmas.csv,
2468,Quebec,Region de la Monteregie,online,
2469,Quebec,Region de la Monteregie,online,
2470,Quebec,Region de la Monteregie,all_cas.csv,
2471,Quebec,Region de la Monteregie,all_cmas.csv,
2471,Quebec,Region de Montreal,all_cmas.csv,
2472,Quebec,Region des Laurentides,all_cmas.csv,
2473,Quebec,Region des Laurentides,all_cmas.csv,
2474,Quebec,Region des Laurentides,all_cmas.csv,
2475,Quebec,Region des Laurentides,online,
2476,Ontario,Eastern Ontario Health Unit,all_cas.csv,
2476,Quebec,Region des Laurentides,all_cas.csv,
2477,Quebec,Region des Laurentides,online,
2478,Quebec,Region des Laurentides,online,
2479,Quebec,Region des Laurentides,online,
2480,Quebec,Region de l’Outaouais,online,
2483,Quebec,Region de l’Outaouais,online,
2484,Quebec,Region de l’Outaouais,online,
2485,Quebec,Region de l’Aibitibi-Temiscamingue,online,
2486,Quebec,Region de l’Abitibi-Temiscamingue,all_cas.csv,
2487,Quebec,Region de l’Aibitibi-Temiscamingue,online,
2488,Quebec,Region de l’Aibitibi-Temiscamingue,online,
2489,Quebec,Region de l’Abitibi-Temiscamingue,all_cas.csv,
2490,Quebec,Region de la Mauricie et du Centre-du-Quebec,,
2491,Quebec,Region du Saguenay—Lac-Saint-Jean,,
2492,Quebec,Region du Saguenay—Lac-Saint-Jean,all_cas.csv,
2493,Quebec,Region du Saguenay—Lac-Saint-Jean,,
2494,Quebec,Region du Saguenay—Lac-Saint-Jean,,
2495,Quebec,Region de la Cote Nord,,
2496,Quebec,Region de la Cote Nord,all_cas.csv,
2497,Quebec,Region de la Cote-Nord,all_cas.csv,
2498,Quebec,Region de la Cote Nord,,
2499,Quebec,Region des Terres-Crie-de-la-Baie-James,,
3501,Ontario,Eastern Ontario Health Unit,all_cas.csv,
3502,Ontario,Eastern Ontario Health Unit,all_cas.csv,
3502,Quebec,Region des Laurentides,all_cas.csv,
3507,Ontario,"Leeds, Grenville and Lanark District Health Unit",all_cas.csv,
3509,Ontario,"Leeds, Grenville and Lanark District Health Unit",all_cas.csv,
3510,Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",all_cmas.csv,
3511,Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",all_cmas.csv,
3512,Ontario,Hastings and Prince Edward Counties Health Unit,all_cmas.csv,
3513,Ontario,Hastings and Prince Edward Counties Health Unit,,
3514,Ontario,"Haliburton, Kawartha, Pine Ridge District health Unit",all_cas.csv,
3515,Ontario,Peterborough County – City Health Unit,,
3516,Ontario,"Haliburton, Kawartha, Pine Ridge District health Unit",all_cas.csv,
3516,Ontario,Peterborough County – City Health Unit,all_cas.csv,
3518,Ontario,Durham Regional Health Unit,,
3522,Ontario,Wellington-Dufferin-Guelph Health Unit,,
3523,Ontario,Wellington-Dufferin-Guelph Health Unit,all_cas.csv,
3524,Ontario,Halton Regional Health Unit,all_cmas.csv,
3525,Ontario,City of Hamilton Health Unit,all_cmas.csv,
3526,Ontario,Niagara Regional Area Health Unit,all_cmas.csv,
3528,Ontario,Haldimand-Norfolk Health Unit,all_cas.csv,
3529,Ontario,Brant County Health Area,all_cmas.csv,
3530,Ontario,Waterloo Health Unit,all_cmas.csv,
3531,Ontario,Perth District Health Unit,all_cas.csv,
3532,Ontario,Oxford County Health Unit,all_cas.csv,
3534,Ontario,Elgin-St. Thomas Health Unit,all_cmas.csv,
3536,Ontario,Chatham-Kent Health Unit,all_cas.csv,
3537,Ontario,Windsor-Essex County Health Unit,all_cas.csv,
3538,Ontario,Lambton Health Unit,all_cas.csv,
3539,Ontario,Middlesex-London Health Unit,all_cmas.csv,
3540,Ontario,Huron County Health Unit,,
3541,Ontario,Grey Bruce Health Unit,,
3542,Ontario,Grey Bruce Health Unit,all_cas.csv,
3543,Ontario,Simcoe Muskoka Diestrict Health Unit,all_cas.csv,
3544,Ontario,Simcoe Muskoka District Health Unit,,
3546,Ontario,Simcoe Muskoka District Health Unit,,
3546,Ontario,"Haliburton, Kawartha, Pine Ridge District health Unit",,
3547,Ontario,Renfrew County and District Health,all_cas.csv,
3548,Ontario,North Bay Parry Soiund District Health Unit,all_cas.csv,
3549,Ontario,North Bay Parry Soiund District Health Unit,all_cas.csv,
3551,Ontario,Sudbury and District Health Unit,,
3552,Ontario,Sudbury and District Health Unit,,
3553,Ontario,Sudbury and District Health Unit,all_cmas.csv,
3554,Ontario,Timiskaming Health Unit,,
3556,Ontario,Porcupine Health Unit,all_cas.csv,
3557,Ontario,District of Algoma Health Unit,all_cas.csv,
3558,Ontario,Thunder Bay District Health Unit,,
3559,Ontario,Northwestern Health Unit,,
3560,Ontario,Northwestern Health Unit,all_cas.csv,
4601,Manitoba,Interlake-Eastern Regional Health Authority,,
4602,Manitoba,Southern Health,all_cas.csv,
4603,Manitoba,Southern Health,all_cas.csv,
4604,Manitoba,Prairie Mountain Health,,
4604,Manitoba,Southern Health,,
4605,Manitoba,Prairie Mountain Health,,
4606,Manitoba,Prairie Mountain Health,,
4607,Manitoba,Prairie Mountain Health,all_cas.csv,
4608,Manitoba,Southern Health,,also Prairie Mountain
4609,Manitoba,Portage La Prairie,all_cas.csv,
4610,Manitoba,Southern Health,,
4612,Manitoba,Interlake-Eastern Regional Health Authority,,
4613,Manitoba,Interlake-Eastern Regional Health Authority,,
4614,Manitoba,Interlake-Eastern Regional Health Authority,,
4615,Manitoba,Prairie Mountain Health,,
4616,Manitoba,Prairie Mountain Health,,
4617,Manitoba,Prairie Mountain Health,,
4618,Manitoba,Interlake-Eastern Regional Health Authority,,also Interlake Eastern
4619,Manitoba,Interlake-Eastern Regional Health Authority,,
4620,Manitoba,Prairie Mountain Health,,
4621,Manitoba,Northern Regional Health Authority,,
4622,Manitoba,Northern Regional Health Authority,all_cas.csv,
4623,Manitoba,Northern Regional Health Authority,,
4701,Saskatchewan,Sun Country Regional Health Authority,all_cas.csv,
4702,Saskatchewan,Sun Country Regional Health Authority,all_cas.csv,
4707,Saskatchewan,Five Hills Regional Health Authority,all_cas.csv,
4708,Saskatchewan,Cypress Regional Health Authority,all_cas.csv,
4709,Saskatchewan,Sunrise Regional Health Authority,all_cas.csv,
4712,Saskatchewan,Prairie North Regional Health Authority,all_cas.csv,
4715,Saskatchewan,Prince Albert Parkland Regional Health Authority,all_cas.csv,
4716,Saskatchewan,Prairie North Regional Health Authority,all_cas.csv,
4717,Saskatchewan,Prairie North Regional Health Authority,all_cas.csv,
4801,Alberta,South Zone,all_cas.csv,
4802,Alberta,South Zone,all_cas.csv,
4805,Alberta,Calgary Zone,all_cas.csv,
4806,Alberta,Calgary Zone,all_cas.csv,
4808,Alberta,Central Zone,all_cas.csv,
4810,Alberta,Central Zone,all_cas.csv,
4811,Alberta,Central Zone,all_cas.csv,minor?
4811,Alberta,Edmonton Zone,all_cmas.csv,
4811,Alberta,North Zone,all_cmas.csv,minor?
4812,Alberta,North Zone,all_cas.csv,
4815,Alberta,Calgary Zone,all_cas.csv,
4816,Alberta,North Zone,all_cas.csv,
4819,Alberta,North Zone,all_cas.csv,
5491,British Columbia,Northern Interior Health Service Delivery Area,all_cas.csv,
5841,British Columbia,Northern Interior Health Service Delivery Area,all_cas.csv,
5901,British Columbia,East Kootenay Health Service Delivery Area,all_cas.csv,
5903,British Columbia,Kootenay-Boundary Health Service Delivery Area,all_cas.csv,
5907,British Columbia,Okanagan Health Service Delivery Area,all_cas.csv,
5909,British Columbia,Fraser East Health Delivery Service Area,all_cas.csv,
5909,British Columbia,Fraser North Health Service Area,all_cmas.csv,
5919,British Columbia,Central Vancouver Island Health Service Delivery Area,all_cas.csv,
5921,British Columbia,Central Vancouver Island Health Service Delivery Area,all_cas.csv,
5923,British Columbia,Central Vancouver Island Health Service Delivery Area,all_cas.csv,
5924,British Columbia,North Vancouver Island Health Service Delivery Area,all_cas.csv,
5926,British Columbia,North Valcouver Island Health Service Delivery Area,all_cas.csv,
5927,British Columbia,North Shore/Coast Garibalri Health Service Delivery Area,all_cas.csv,
5931,British Columbia,North Shore/Coast Garibalri Health Service Delivery Area,all_cas.csv,
5933,British Columbia,Thompson/Cariboo Health Service Delivery Area,all_cas.csv,
5935,British Columbia,Kootenay-Boundary Health Service Delivery Area,all_cmas.csv,
5937,British Columbia,Okanagan Health Service Delivery Area,all_cas.csv,
5939,British Columbia,Thompson/Cariboo Health Service Delivery Area,all_cas.csv,
5941,British Columbia,Thompson/Cariboo Health Service Delivery Area,all_cas.csv,
5947,British Columbia,Northwest Health Service Delivery Area,all_cas.csv,
5949,British Columbia,Northwest Health Service Delivery Area,all_cas.csv,
5953,British Columbia,Northern Interior Health Service Delivery Area,all_cas.csv,
5955,British Columbia,Northeast Health Service Delivery Area,all_cas.csv,
6001,Yukon,Yukon,all_cas.csv,
6106,Northwest Territories,Northwest Territories,all_cas.csv,
,,,,
4803,Alberta,South Sone,,
4804,Alberta,South Sone,,
4804,Alberta,Central Zone,,
4807,Alberta,Central Zone,,
4813,Alberta,North Zone,,
4814,Alberta,North Zone,,
4817,Alberta,North Zone,,
4818,Alberta,North Zone,,
5905,British Columbia,Kootenay-Boundary Health Service Delivery Area,,
,,,,
4809,Alberta,Central Zone,,
,,,,
5917,British Columbia,South Vancouver Island Health Service Delivery Area,,
5929,British Columbia,North Shore/Coast Garibalri Health Service Delivery Area,,
5945,British Columbia,North Shore/Coast Garibalri Health Service Delivery Area,,
5951,British Columbia,Northwest Health Service Delivery Area,,
5959,British Columbia,Northeast Health Service Delivery Area,,
5943,British Columbia,North Vancouver Island Health Service Delivery Area,,
5957,British Columbia,Northeast Health Service Delivery Area,,
5957,British Columbia,Northwest Health Service Delivery Area,,
,,,,
,,,,
6101,Northwest Territories,Northwest Territories,,
6102,Northwest Territories,Northwest Territories,,
6104,Northwest Territories,Northwest Territories,,
6105,Northwest Territories,Northwest Territories,,
6103,Northwest Territories,Northwest Territories,,
,,,,
6204,Nunavut,Nunavut,,
6205,Nunavut,Nunavut,,
6208,Nunavut,Nunavut,,
,,,,
1301,British Columbia,Zone 2 (Saint John area),,
,,,,
2420,Quebec,Region de la Capitale-Nationale,,
2422,Quebec,Region de la Capitale-Nationale,,
2423,Quebec,Region de la Capitale-Nationale,,
2425,Quebec,Region de la Chaudiere-Appalaches,,
2443,Quebec,Region de l’Estrie,,
2481,Quebec,Region de l’Outaouais,,
2482,Quebec,Region de l’Outaouais,,
,,,,
3506,Ontario,City of Ottawa Health Unit,,
3519,,York Regional Health Unit,,
3520,,City of Toronto Health Unit,,
3521,,Peel Regional Health Unit,,
,,,,
4611,Manitoba,Southern Health,,
,,,,
4706,Saskatchewan,Regina Qu’Appelle Regional Health Authority,,
4706,Saskatchewan,Five Hills Regional Health Authority,,
4711,Saskatchewan,Saskatoon Regional Health Authority,,
,,,,
5915,British Columbia,Fraser North Health Service Delivery Area,,
5915,British Columbia,Fraser South Health Service Delivery Area,,
5915,British Columbia,North Shore/Coast Garibalri Health Service Delivery Area,,
,,,,
2436,Quebec,Region de la Mauricie et du Centre-du-Quebec,,
