HA_code,province,HA,notes
2419,Quebec,Chaudiere-Appalaches,
2420,Quebec,Capitale-Nationale,
2421,Quebec,Capitale-Nationale,
2422,Quebec,Capitale-Nationale,
2423,Quebec,Capitale-Nationale,
2425,Quebec,Chaudiere-Appalaches,
2426,Quebec,Chaudiere-Appalaches,
2427,Quebec,Chaudiere-Appalaches,
2428,Quebec,Chaudiere-Appalaches,
2429,Quebec,Chaudiere-Appalaches,
2430,Quebec,Estrie,
2431,Quebec,Chaudiere-Appalaches,
2432,Quebec,Mauricie et Centre-du-Quebec,
2433,Quebec,Chaudiere-Appalaches,
2434,Quebec,Capitale-Nationale,
2435,Quebec,Mauricie et Centre-du-Quebec,
2436,Quebec,Mauricie et Centre-du-Quebec,
2437,Quebec,Mauricie et Centre-du-Quebec,
2438,Quebec,Mauricie et Centre-du-Quebec,
2439,Quebec,Mauricie et Centre-du-Quebec,
2439,Quebec,Saguenay-Lac-Saint-Jean,
2440,Quebec,Estrie,
2441,Quebec,Estrie,
2442,Quebec,Estrie,
2443,Quebec,Estrie,
2444,Quebec,Estrie,
2445,Quebec,Estrie,
2446,Quebec,Estrie,
2447,Quebec,Estrie,
2448,Quebec,Monteregie,
2449,Quebec,Mauricie et Centre-du-Quebec,
2450,Quebec,Mauricie et Centre-du-Quebec,
2451,Quebec,Monteregie,
2452,Quebec,Lanaudiere,
2453,Quebec,Monteregie,
2454,Quebec,Monteregie,
2455,Quebec,Monteregie,
2456,Quebec,Monteregie,
2457,Quebec,Monteregie,
2458,Quebec,Monteregie,
2459,Quebec,Monteregie,
2460,Quebec,Chaudiere-Appalaches,
2460,Quebec,Lanaudiere,
2460,Quebec,Lanaudiere,
2461,Quebec,Lanaudiere,
2462,Quebec,Laurentides,
2463,Quebec,Lanaudiere,
2464,Quebec,Lanaudiere,
2465,Quebec,Laval,
2466,Quebec,Montreal,
2467,Quebec,Monteregie,
2468,Quebec,Monteregie,
2469,Quebec,Monteregie,
2470,Quebec,Monteregie,
2471,Quebec,Monteregie,
2471,Quebec,Montreal,
2472,Quebec,Laurentides,
2473,Quebec,Laurentides,
2474,Quebec,Laurentides,
2475,Quebec,Laurentides,
2476,Ontario,Laurentides,
2476,Quebec,Laurentides,
2477,Quebec,Laurentides,
2478,Quebec,Laurentides,
2479,Quebec,Laurentides,
2480,Quebec,Outaouais,
2481,Quebec,Outaouais,
2482,Quebec,Outaouais,
2483,Quebec,Outaouais,
2484,Quebec,Outaouais,
2485,Quebec,Abitibi-Temiscamingue,
2486,Quebec,Abitibi-Temiscamingue,
2487,Quebec,Abitibi-Temiscamingue,
2488,Quebec,Abitibi-Temiscamingue,
2489,Quebec,Abitibi-Temiscamingue,
2490,Quebec,Mauricie et Centre-du-Quebec,
2491,Quebec,Saguenay-Lac-Saint-Jean,
2492,Quebec,Saguenay-Lac-Saint-Jean,
2493,Quebec,Saguenay-Lac-Saint-Jean,
2494,Quebec,Saguenay-Lac-Saint-Jean,
2495,Quebec,Cote-Nord,
2496,Quebec,Cote-Nord,
2497,Quebec,Cote-Nord,
2498,Quebec,Cote-Nord,
2499,Quebec,Terres-Cries-de-la-Baie-James,
3501,Ontario,Eastern,
3502,Ontario,Eastern,
3502,Quebec,Laurentides,
3506,Ontario,Ottawa,
3507,Ontario,Leeds Grenville and Lanark ,
3509,Ontario,Leeds Grenville and Lanark,
3510,Ontario,Kingston Frontenac Lennox and Addington,
3511,Ontario,Kingston Frontenac Lennox and Addington,
3512,Ontario,Hastings Prince Edward,
3513,Ontario,Hastings Prince Edward,
3514,Ontario,Haliburton Kawartha Pine Ridge,
3515,Ontario,Peterborough,
3516,Ontario,Haliburton Kawartha Pine Ridge,
3516,Ontario,Peterborough,
3518,Ontario,Durham,
3519,Ontario,York,
3520,Ontario,Toronto,
3521,Ontario,Peel,
3522,Ontario,Wellington Dufferin Guelph,
3523,Ontario,Wellington Dufferin Guelph,
3524,Ontario,Halton,
3525,Ontario,Hamilton,
3526,Ontario,Niagara,
3528,Ontario,Haldimand-Norfolk,
3529,Ontario,Brant,
3530,Ontario,Waterloo,
3531,Ontario,Huron Perth,originally Perth district
3532,Ontario,Southwestern,
3534,Ontario,Southwestern,
3536,Ontario,Chatham-Kent,
3537,Ontario,Windsor-Essex,
3538,Ontario,Lambton,
3539,Ontario,Middlesex-London,
3540,Ontario,Huron Perth,Originally Huron County
3541,Ontario,Grey Bruce,
3542,Ontario,Grey Bruce,
3543,Ontario,Simcoe Muskoka,
3544,Ontario,Simcoe Muskoka,
3546,Ontario,Haliburton Kawartha Pine Ridge,
3546,Ontario,Simcoe Muskoka,
3547,Ontario,Renfrew,
3548,Ontario,North Bay Parry Sound,
3549,Ontario,North Bay Parry Sound,
3551,Ontario,Sudbury,
3552,Ontario,Sudbury,
3553,Ontario,Sudbury,
3554,Ontario,Timiskaming,
3556,Ontario,Porcupine,
3557,Ontario,Algoma,
3558,Ontario,Thunder Bay,
3559,Ontario,Northwestern,
3560,Ontario,Northwestern,
4601,Manitoba,Interlake-Eastern,
4602,Manitoba,Southern Health,
4603,Manitoba,Southern Health,
4604,Manitoba,Prairie Mountain,
4604,Manitoba,Southern Health,
4605,Manitoba,Prairie Mountain,
4606,Manitoba,Prairie Mountain,
4607,Manitoba,Prairie Mountain,
4608,Manitoba,Southern Health,also Prairie Mountain
4609,Manitoba,Southern Health,
4610,Manitoba,Southern Health,
4611,Manitoba,Southern Health,
4612,Manitoba,Interlake-Eastern,
4613,Manitoba,Interlake-Eastern,
4614,Manitoba,Interlake-Eastern,
4615,Manitoba,Prairie Mountain,
4616,Manitoba,Prairie Mountain,
4617,Manitoba,Prairie Mountain,
4618,Manitoba,Interlake-Eastern,
4619,Manitoba,Interlake-Eastern,
4620,Manitoba,Prairie Mountain,
4621,Manitoba,Northern,
4622,Manitoba,Northern,
4623,Manitoba,Northern,
4701,Saskatchewan,Sun Country Regional,
4702,Saskatchewan,Sun Country Regional,
4706,Saskatchewan,Five Hills Regional,
4706,Saskatchewan,Regina Qu’Appelle Regional,
4707,Saskatchewan,Five Hills Regional,
4708,Saskatchewan,Cypress Regional,
4709,Saskatchewan,Sunrise Regional,
4711,Saskatchewan,Saskatoon Regional,
4712,Saskatchewan,Prairie North Regional,
4715,Saskatchewan,Prince Albert Parkland Regional,
4716,Saskatchewan,Prairie North Regional,
4717,Saskatchewan,Prairie North Regional,
4801,Alberta,South Zone,
4802,Alberta,South Zone,
4803,Alberta,South Zone,
4804,Alberta,South Zone,
4805,Alberta,Calgary Zone,
4806,Alberta,Calgary Zone,
4807,Alberta,Central Zone,
4808,Alberta,Central Zone,
4809,Alberta,Central Zone,
4810,Alberta,Central Zone,
4811,Alberta,Edmonton Zone,
4811,Alberta,North Zone,minor?
4812,Alberta,North Zone,
4813,Alberta,North Zone,
4814,Alberta,North Zone,
4815,Alberta,Calgary Zone,
4816,Alberta,North Zone,
4817,Alberta,North Zone,
4818,Alberta,North Zone,
4819,Alberta,North Zone,
5901,British Columbia,East Kootenay,
5903,British Columbia,Kootenay Boundary,
5905,British Columbia,Kootenay Boundary,
5907,British Columbia,Okanagan,
5909,British Columbia,Fraser East,
5909,British Columbia,Fraser North,
5915,British Columbia,Fraser North,
5915,British Columbia,Fraser South,
5915,British Columbia,North Shore/Coast Garibaldi,
5917,British Columbia,South Vancouver Island,
5919,British Columbia,Central Vancouver Island,
5921,British Columbia,Central Vancouver Island,
5923,British Columbia,Central Vancouver Island,
5924,British Columbia,North Vancouver Island,
5926,British Columbia,North Vancouver Island,
5927,British Columbia,North Shore/Coast Garibaldi,
5929,British Columbia,North Shore/Coast Garibaldi,
5931,British Columbia,North Shore/Coast Garibaldi,
5933,British Columbia,Thompson Cariboo Shuswap,
5935,British Columbia,Kootenay Boundary,
5937,British Columbia,Okanagan,
5939,British Columbia,Thompson Cariboo Shuswap,
5941,British Columbia,Thompson Cariboo Shuswap,
5943,British Columbia,North Vancouver Island,
5945,British Columbia,North Shore/Coast Garibaldi,
5947,British Columbia,Northwest,
5949,British Columbia,Northwest,
5951,British Columbia,Northwest,
5953,British Columbia,Northern Interior,
5955,British Columbia,Northeast,
5957,British Columbia,Northeast,
5957,British Columbia,Northwest,
5959,British Columbia,Northeast,
6001,Yukon,Yukon,
6101,Northwest Territories,Northwest Territories,
6102,Northwest Territories,Northwest Territories,
6103,Northwest Territories,Northwest Territories,
6104,Northwest Territories,Northwest Territories,
6105,Northwest Territories,Northwest Territories,
6106,Northwest Territories,Northwest Territories,
6204,Nunavut,Nunavut,
6205,Nunavut,Nunavut,
6208,Nunavut,Nunavut,
