index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,geometry
1039,Lamton Home,"",Nursing and residential care facilities,Province of British Columbia,"",650,middleton way,V1B 2V5,coldstream,British Columbia,650 middleton way coldstream bc v1b 2v5,Coldstream,5937010,59,-119.2547159|50.2318418
1040,Lands End Home,"",Nursing and residential care facilities,Province of British Columbia,"",1995,lands end rd,V8L 5J2,north saanich,British Columbia,1995 lands end rd north saanich bc v8l 5j2,North Saanich,5917005,59,-123.41694|48.68585
1041,Langley Gardens,"",Nursing and residential care facilities,Province of British Columbia,"",8888,202 st,V1M 4A7,langley,British Columbia,8888 202nd st langley bc v1m 4a7,Langley,5915001,59,-122.6609691|49.1663494
1042,Langley Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",5451,204 st,V3A 5M9,langley,British Columbia,5451 204th st langley bc v3a 5m9,Langley,5915002,59,-122.6573035|49.1015673
1045,Langton Road,"",Nursing and residential care facilities,Province of British Columbia,"",7611,langton rd,V7C 4B4,richmond,British Columbia,7611 langton rd richmond bc v7c 4b4,Richmond,5915015,59,-123.1606944|49.1570209
1046,Lannan Road Residence,"",Nursing and residential care facilities,Province of British Columbia,"",2046,lannan rd,V9M 3Z6,comox,British Columbia,2046 lannan rd comox bc v9m 3z6,Comox Valley B (Lazo North),5926022,59,-124.9362404|49.7086633
1048,Larkin House,"",Nursing and residential care facilities,Province of British Columbia,"",2583,larkin ave,V3B 2H8,port coquitlam,British Columbia,2583 larkin ave port coquitlam bc v3b 2h8,Port Coquitlam,5915039,59,-122.7851203|49.277786
1049,Larkspur House,"",Nursing and residential care facilities,Province of British Columbia,"",1310,larkspur ave,V3B 1G7,port coquitlam,British Columbia,1310 larkspur ave port coquitlam bc v3b 1g7,Port Coquitlam,5915039,59,-122.7510197|49.2660077
1050,Last Door Recovery Centre,"",Nursing and residential care facilities,Province of British Columbia,"",323,8 st,V3M 3R3,new westminster,British Columbia,323 8th st new westminster bc v3m 3r3,New Westminster,5915029,59,-122.9191564|49.2078235
1052,Laurel Place Care Centre,"",Nursing and residential care facilities,Province of British Columbia,"",9688,137a st,V3T 4H9,surrey,British Columbia,9688 137a st surrey bc v3t 4h9,Surrey,5915004,59,-122.8417804|49.1784188
1054,Leaside Place,"",Nursing and residential care facilities,Province of British Columbia,"",1807,e 64 ave,V5P 2M9,vancouver,British Columbia,1807 e 64th ave vancouver bc v5p 2m9,Vancouver,5915022,59,-123.068935|49.2121813
1055,Leonard Place,"",Nursing and residential care facilities,Province of British Columbia,"",4761,leonard pl,V2M 6Z5,prince george,British Columbia,4761 leonard pl prince george bc v2m 6z5,Prince George,5953023,59,-122.81031|53.938608
1058,Lindsay Home,"",Nursing and residential care facilities,Province of British Columbia,"",754,lindsay st,V8Z 3E1,victoria,British Columbia,754 lindsay st victoria bc v8z 3e1,Saanich,5917021,59,-123.3952548|48.4911471
1060,Lisgar Residence,"",Nursing and residential care facilities,Province of British Columbia,"",2471,lisgar cres,V2N 1C4,prince george,British Columbia,2471 lisgar cres prince george bc v2n 1c4,Prince George,5953023,59,-122.79234|53.897987
1061,"Little Mountain Manor, Inc.","",Nursing and residential care facilities,Province of British Columbia,"",959,little mountain rd,V9P 2C3,parksville,British Columbia,959 little mountain rd parksville bc v9p 2c3,Nanaimo F,5921032,59,-124.33023|49.298621
1062,Little Mountain Place,"",Nursing and residential care facilities,Province of British Columbia,"",330,e 36 ave,V5W 3Z4,vancouver,British Columbia,330 e 36th ave vancouver bc v5w 3z4,Vancouver,5915022,59,-123.0998532|49.2376636
1067,Loraine Avenue,"",Nursing and residential care facilities,Province of British Columbia,"",3908,loraine ave,V7R 4B8,north vancouver,British Columbia,3908 loraine ave north vancouver bc v7r 4b8,North Vancouver,5915046,59,-123.1065884|49.3445873
1068,Louis Brier Home,"",Nursing and residential care facilities,Province of British Columbia,"",1055,w 41 ave,V6M 1W9,vancouver,British Columbia,1055 w 41st ave vancouver bc v6m 1w9,Vancouver,5915022,59,-123.129|49.23448
1072,Lucas Home,"",Nursing and residential care facilities,Province of British Columbia,"",909,lucas ave,V8X 4M7,victoria,British Columbia,909 lucas ave victoria bc v8x 4m7,Saanich,5917021,59,-123.373936|48.477997
1073,Luther Court,"",Nursing and residential care facilities,Province of British Columbia,"",1525,cedar hill x rd,V8P 5M1,victoria,British Columbia,1525 cedar hill x rd victoria bc v8p 5m1,Saanich,5917021,59,-123.3364271|48.4619202
1074,Luxton Home,"",Nursing and residential care facilities,Province of British Columbia,"",3522,luxton rd,V9C 0K6,victoria,British Columbia,3522 luxton rd victoria bc v9c 0k6,Langford,5917044,59,-123.5341518|48.419041
1075,Lynn Valley Care Centre,"",Nursing and residential care facilities,Province of British Columbia,"",1070,lynn valley road,V7J 1Z8,north vancouver,British Columbia,1070 lynn valley road north vancouver bc v7j 1z8,North Vancouver,5915046,59,-123.045|49.33396
1076,Lynn Valley House,"",Nursing and residential care facilities,Province of British Columbia,"",1525/1527,lynn valley road,V7J 2B1,north vancouver,British Columbia,1525/1527 lynn valley road north vancouver bc v7j 2b1,North Vancouver,5915046,59,-123.0310686|49.340396
1079,Lynndale Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",4820,10 ave sw,V1E 3B5,salmon arm,British Columbia,4820 10 ave sw salmon arm bc v1e 3b5,Salmon Arm,5939032,59,-119.340954|50.6919774
1080,m.s.a. Manor,"",Nursing and residential care facilities,Province of British Columbia,"",2510,gladwin rd,V2T 3N9,abbotsford,British Columbia,2510 gladwin rd abbotsford bc v2t 3n9,Abbotsford,5909052,59,-122.3144389|49.0475442
1082,Maginnis Avenue,"",Nursing and residential care facilities,Province of British Columbia,"",3660,maginnis avenue n,V7K 2L6,vancouver,British Columbia,3660 maginnis avenue north vancouver bc v7k 2l6,North Vancouver,5915046,59,-123.034142|49.3426871
1083,Magnolia Gardens,"",Nursing and residential care facilities,Province of British Columbia,"",5840,glover rd,V3A 9K3,langley,British Columbia,5840 glover rd langley bc v3a 9k3,Langley,5915002,59,-122.6494693|49.1082447
1084,Magnolia House,"",Nursing and residential care facilities,Province of British Columbia,"",720,e 17 st,V7L 2W8,north vancouver,British Columbia,720 e 17th st north vancouver bc v7l 2w8,North Vancouver,5915051,59,-123.0538386|49.3242484
1085,Main Street Home,"",Nursing and residential care facilities,Province of British Columbia,"",5760,main street,V0H 1T0,oliver,British Columbia,5760 main street oliver bc v0h 1t0,Oliver,5907014,59,-119.5552406|49.173073
1086,Mainwaring,"",Nursing and residential care facilities,Province of British Columbia,"",8950,mainwaring rd,V8L 1J7,north saanich,British Columbia,8950 mainwaring rd north saanich bc v8l 1j7,North Saanich,5917005,59,-123.4154788|48.6249709
1087,Malaspina Residence,"",Nursing and residential care facilities,Province of British Columbia,"",2028,cedar cres,V9N 3B6,courtenay,British Columbia,2028 cedar cres courtenay bc v9n 3b6,Courtenay,5926010,59,-124.9927014|49.6786877
1090,Manning House,"",Nursing and residential care facilities,Province of British Columbia,"",1560,manning ave,V3B 1K5,port coquitlam,British Columbia,1560 manning ave port coquitlam bc v3b 1k5,Port Coquitlam,5915039,59,-122.7578008|49.2680766
1091,Manoah Manor,"",Nursing and residential care facilities,Province of British Columbia,"",20265,54a ave,V3A 3W6,langley city,British Columbia,20265 54a ave langley city bc v3a 3w6,Langley,5915002,59,-122.6608587|49.101831
1092,Manuel House,"",Nursing and residential care facilities,Province of British Columbia,"",1709,232 st,V2Z 1K7,langley,British Columbia,1709 232nd st langley bc v2z 1k7,Langley,5915001,59,-122.58322|49.032664
1094,Maple Ridge House,"",Nursing and residential care facilities,Province of British Columbia,"",12210,232a st,V2X 0R2,maple ridge,British Columbia,12210 232a st maple ridge bc v2x 0r2,Maple Ridge,5915075,59,-122.5783552|49.2245369
1095,Maple Ridge Seniors Village,"",Nursing and residential care facilities,Province of British Columbia,"",22141,119 ave,V2X 2Y7,maple ridge,British Columbia,22141 119th ave maple ridge bc v2x 2y7,Maple Ridge,5915075,59,-122.6084592|49.2193789
1096,Maple Ridge Treatment Centre,"",Nursing and residential care facilities,Province of British Columbia,"",22269,callaghan ave,V2X 2E2,maple ridge,British Columbia,22269 callaghan ave maple ridge bc v2x 2e2,Maple Ridge,5915075,59,-122.6051618|49.2137785
1097,Maple Street Residence,"",Nursing and residential care facilities,Province of British Columbia,"",5537,maple st,V9Y 8H4,port alberni,British Columbia,5537 maple st port alberni bc v9y 8h4,Alberni-Clayoquot E,5923037,59,-124.8084067|49.2711362
1098,Maplewood House,"",Nursing and residential care facilities,Province of British Columbia,"",1919,jackson st,V2S 2Z8,abbotsford,British Columbia,1919 jackson st abbotsford bc v2s 2z8,Abbotsford,5909052,59,-122.3091484|49.0366072
1101,Marchmont House,"",Nursing and residential care facilities,Province of British Columbia,"",739,marchmont rd,V9L 2L9,duncan,British Columbia,739 marchmont rd duncan bc v9l 2l9,Duncan,5919012,59,-123.6935153|48.7770977
1102,Marchmont Place,"",Nursing and residential care facilities,Province of British Columbia,"",6124,ryall rd,V9L 2H7,duncan,British Columbia,6124 ryall rd duncan bc v9l 2h7,North Cowichan,5919008,59,-123.72443|48.793073
1103,Marin Park,"",Nursing and residential care facilities,Province of British Columbia,"",1166,marin park dr,V8M 1E8,brentwood bay,British Columbia,1166 marin park dr brentwood bay bc v8m 1e8,Central Saanich,5917015,59,-123.4513407|48.5714564
1105,Mariposa,"",Nursing and residential care facilities,Province of British Columbia,"",4133,mariposa heights,V8Z 6P5,victoria,British Columbia,4133 mariposa heights victoria bc v8z 6p5,Saanich,5917021,59,-123.41418|48.478199
1106,Mariposa Court,"",Nursing and residential care facilities,Province of British Columbia,"",3419,mariposa court,V1X 2S9,kelowna,British Columbia,3419 mariposa court kelowna bc v1x 2s9,Kelowna,5935010,59,-119.4391121|49.8590963
1107,Mariposa Gardens,"",Nursing and residential care facilities,Province of British Columbia,"",8816,97 st,V0H 1V5,osoyoos,British Columbia,8816 97 st osoyoos bc v0h 1v5,Osoyoos,5907005,59,-119.4770583|49.034727
1108,Marjorie Willoughby Snowden Memorial Hospice Home,"",Nursing and residential care facilities,Province of British Columbia,"",72,whiteshield crescent s,V2E 2S9,kamloops,British Columbia,72 whiteshield crescent s kamloops bc v2e 2s9,Kamloops,5933042,59,-120.3374527|50.6588194
1109,Mary Basil House,"",Nursing and residential care facilities,Province of British Columbia,"",2001,industrial rd,V1C 6H3,cranbrook,British Columbia,2001 industrial rd cranbrook bc v1c 6h3,Cranbrook,5901022,59,-115.7686075|49.5249786
1110,Maryland House,"",Nursing and residential care facilities,Province of British Columbia,"",9496,maryland dr,V8L 2R6,sidney,British Columbia,9496 maryland dr sidney bc v8l 2r6,Sidney,5917010,59,-123.4063757|48.6401829
1114,Maxey Road Home,"",Nursing and residential care facilities,Province of British Columbia,"",2278,maxey rd,V9S 5V5,nanaimo,British Columbia,2278 maxey rd nanaimo bc v9s 5v5,Nanaimo C,5921016,59,-124.00326|49.185127
1115,May's Place,"",Nursing and residential care facilities,Province of British Columbia,"",333,powell st,V6A 1G5,vancouver,British Columbia,333 powell st vancouver bc v6a 1g5,Vancouver,5915022,59,-123.097|49.28324
1116,Mayfair (the),"",Nursing and residential care facilities,Province of British Columbia,"",33433,marshall rd,V2S 1K8,abbotsford,British Columbia,33433 marshall rd abbotsford bc v2s 1k8,Abbotsford,5909052,59,-122.2976893|49.039494
1117,Mcarthur Home,"",Nursing and residential care facilities,Province of British Columbia,"",794-796,mcarthur drive,V2B 8L9,kamloops,British Columbia,794-796 mcarthur drive kamloops bc v2b 8l9,Kamloops,5933042,59,-120.3482057|50.7625069
1119,Mcbride Place,"",Nursing and residential care facilities,Province of British Columbia,"",878,mcbride street,V2B 5S3,kamloops,British Columbia,878 mcbride street kamloops bc v2b 5s3,Kamloops,5933042,59,-120.4107315|50.7029457
1120,Mccauley Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",1037,lyall st,V9A 5G1,victoria,British Columbia,1037 lyall st victoria bc v9a 5g1,Esquimalt,5917040,59,-123.4064|48.426921
1121,Mcculloch Residence,"",Nursing and residential care facilities,Province of British Columbia,"",5500,mcculloch rd,V1W 4G1,kelowna,British Columbia,5500 mcculloch rd kelowna bc v1w 4g1,Kelowna,5935010,59,-119.3486466|49.8396118
1122,Mckenzie Home,"",Nursing and residential care facilities,Province of British Columbia,"",1112,mckenzie st,V8V 2W2,victoria,British Columbia,1112 mckenzie st victoria bc v8v 2w2,Victoria,5917034,59,-123.3554095|48.4151589
1123,Mckim Cottage,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,"",916,eleventh st,V1L 7A6,nelson,British Columbia,916 eleventh st. nelson bc v1l 7a6,Nelson,5903015,59,-117.267255|49.508589
1125,Mcqueen House,"",Nursing and residential care facilities,Province of British Columbia,"",2831,muir rd,V9N 6A2,courtenay,British Columbia,2831 muir rd courtenay bc v9n 6a2,Courtenay,5926010,59,-124.9852203|49.7107401
1127,Meadowbrook,"",Nursing and residential care facilities,Province of British Columbia,"",12412,meadowbrook pl,V4R 2H6,maple ridge,British Columbia,12412 meadowbrook pl maple ridge bc v4r 2h6,Maple Ridge,5915075,59,-122.635215|49.2279307
1130,Medusa Street Residence,"",Nursing and residential care facilities,Province of British Columbia,"",5832,medusa street,V0N 3A3,sechelt,British Columbia,5832 medusa street sechelt bc v0n 3a3,Sechelt,5929011,59,-123.7650971|49.4749989
1132,Melody House,"",Nursing and residential care facilities,Province of British Columbia,"",1730,macdonald st,V6K 3X8,vancouver,British Columbia,1730 macdonald st vancouver bc v6k 3x8,Vancouver,5915022,59,-123.1681564|49.270557
1133,Menno Extended Care Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,"",32945,marshall rd,V2S 1K1,abbotsford,British Columbia,32945 marshall rd. abbotsford bc v2s 1k1,Abbotsford,5909052,59,-122.3117414|49.0384349
1134,Menno Place - Menno Home,"",Nursing and residential care facilities,Province of British Columbia,"",32910,brundige ave,V2S 1N2,abbotsford,British Columbia,32910 brundige ave abbotsford bc v2s 1n2,Abbotsford,5909052,59,-122.311293|49.03968
1137,Mentmore,"",Nursing and residential care facilities,Province of British Columbia,"",523,mentmore st,V3J 4P5,coquitlam,British Columbia,523 mentmore st coquitlam bc v3j 4p5,Coquitlam,5915034,59,-122.8702195|49.2503872
1138,Mercy Canada,"",Nursing and residential care facilities,Province of British Columbia,"",19465,16 ave,V3Z 9V2,surrey,British Columbia,19465 16th ave surrey bc v3z 9v2,Surrey,5915004,59,-122.684235|49.032142
1141,Middleton House,"",Nursing and residential care facilities,Province of British Columbia,"",10306,middleton dr,V1T 2K6,vernon,British Columbia,10306 middleton dr vernon bc v1t 2k6,Coldstream,5937010,59,-119.237596|50.236328
1143,Milford,"",Nursing and residential care facilities,Province of British Columbia,"",2575,milford rd,V9W 5H3,campbell river,British Columbia,2575 milford rd campbell river bc v9w 5h3,Campbell River,5924034,59,-125.235307|49.9676849
1144,Milford Home,"",Nursing and residential care facilities,Province of British Columbia,"",10420,milford dr,V7A 4J7,richmond,British Columbia,10420 milford dr richmond bc v7a 4j7,Richmond,5915015,59,-123.1151772|49.139108
1145,Mill Lake Residence,"",Nursing and residential care facilities,Province of British Columbia,"",33056,mill lake rd,V2S 2A3,abbotsford,British Columbia,33056 mill lake rd abbotsford bc v2s 2a3,Abbotsford,5909052,59,-122.3077854|49.0481178
1147,Millers Way,"",Nursing and residential care facilities,Province of British Columbia,"",7710,15 ave,V3N 1W5,burnaby,British Columbia,7710 15th ave burnaby bc v3n 1w5,Burnaby,5915025,59,-122.935316|49.220594
1148,Millgrove Home,"",Nursing and residential care facilities,Province of British Columbia,"",3028,millgrove st,V9A 1X5,victoria,British Columbia,3028 millgrove st victoria bc v9a 1x5,Saanich,5917021,59,-123.3931465|48.448569
1150,Mimi's House,"",Nursing and residential care facilities,Province of British Columbia,"",1631,earlston ave,V8P 2Z6,victoria,British Columbia,1631 earlston ave victoria bc v8p 2z6,Saanich,5917021,59,-123.33049|48.46396
1151,Mina Care Home,"",Nursing and residential care facilities,Province of British Columbia,"",1061,mina ave,V8Z 6P8,victoria,British Columbia,1061 mina ave victoria bc v8z 6p8,Saanich,5917021,59,-123.41149|48.467004
1152,Minoru Residence,"",Nursing and residential care facilities,Province of British Columbia,"",7333,gollner ave,V6Y 1Y4,richmond,British Columbia,7333 gollner ave richmond bc v6y 1y4,Richmond,5915015,59,-123.15|49.16897
1154,Mission Creek Landing Ltd.,"",Nursing and residential care facilities,Province of British Columbia,"",3081,hall rd,V1W 2R5,kelowna,British Columbia,3081 hall rd kelowna bc v1w 2r5,Kelowna,5935010,59,-119.4282439|49.8715375
1158,Monashee Mews,"",Nursing and residential care facilities,Province of British Columbia,"",2165,norris ave,V0E 2G0,lumby,British Columbia,2165 norris ave lumby bc v0e 2g0,Lumby,5937005,59,-118.9617267|50.2498936
1159,Montgomery House,"",Nursing and residential care facilities,Province of British Columbia,"",227,montgomery st,V3K 5E7,coquitlam,British Columbia,227 montgomery st coquitlam bc v3k 5e7,Coquitlam,5915034,59,-122.8392463|49.2368532
1160,Moog and Friends Hospice House,"",Nursing and residential care facilities,Province of British Columbia,"",1701,government st,V2A 8J7,penticton,British Columbia,1701 government st penticton bc v2a 8j7,Penticton,5907041,59,-119.575713|49.481517
1161,Morgan Place,"",Nursing and residential care facilities,Province of British Columbia,"",3288,156a st,V3Z 9T1,surrey,British Columbia,3288 156a st surrey bc v3z 9t1,Surrey,5915004,59,-122.790069|49.062332
1164,Mount Ida Mews,"",Nursing and residential care facilities,Province of British Columbia,"",100,5 ave se,V1E 4H4,salmon arm,British Columbia,100 5 ave se salmon arm bc v1e 4h4,Salmon Arm,5939032,59,-119.28418|50.696003
1165,Mount Nelson Place,"",Nursing and residential care facilities,Province of British Columbia,"",750,6 avenue,V0A 1K0,invermere,British Columbia,750 6th avenue invermere bc v0a 1k0,Invermere,5901039,59,-116.0282627|50.507667
1168,Mount Seymour Parkway House,"",Nursing and residential care facilities,Province of British Columbia,"",3403,mt seymour pkwy,V7H 1G4,north vancouver,British Columbia,3403 mt seymour pkwy north vancouver bc v7h 1g4,North Vancouver,5915046,59,-122.9773545|49.3153534
1171,Mount Tolmie Hospital,extended care,Nursing and residential care facilities,Public Health Agency of Canada,"",3690,richmond rd,V8P 4R6,victoria,British Columbia,3690 richmond rd. victoria bc v8p 4r6,Saanich,5917021,59,-123.330454|48.459924
1172,Mountain Lake Seniors Community Ltd.,"",Nursing and residential care facilities,Province of British Columbia,"",908,11 street,V1L 7A6,nelson,British Columbia,908 11 street nelson bc v1l 7a6,Nelson,5903015,59,-117.265992|49.508215
1173,Mountain View,"",Nursing and residential care facilities,Province of British Columbia,"",470,middleton way,V1B 3Z7,vernon,British Columbia,470 middleton way vernon bc v1b 3z7,Coldstream,5937010,59,-119.2424448|50.2325339
1174,Mountain View Home,"",Nursing and residential care facilities,Province of British Columbia,"",5133,boundary rd,V3G 2N4,abbotsford,British Columbia,5133 boundary rd abbotsford bc v3g 2n4,Abbotsford,5909052,59,-122.0814539|49.0955257
1175,Mountain View Lodge,"",Nursing and residential care facilities,Province of British Columbia,"",951,murray street,V0K 1V0,lillooet,British Columbia,951 murray street lillooet bc v0k 1v0,Lillooet,5931026,59,-121.9389613|50.6892622
1176,Mountain View Lodge Complex & Long Term Care Unit,"",Nursing and residential care facilities,Province of British Columbia,"",920,lahakas blvd,V8C 2S3,kitimat,British Columbia,920 lahakas blvd kitimat bc v8c 2s3,Kitimat,5949005,59,-128.65618|54.050267
1178,Mountainview Group Home,"",Nursing and residential care facilities,Province of British Columbia,"",4195,jingle pot rd,V9T 5P7,nanaimo,British Columbia,4195 jingle pot rd nanaimo bc v9t 5p7,Nanaimo,5921007,59,-124.02689|49.206446
1179,Mt. Cartier Court,"",Nursing and residential care facilities,Province of British Columbia,"",1200,newlands rd,V0E 2S0,revelstoke,British Columbia,1200 newlands rd revelstoke bc v0e 2s0,Revelstoke,5939019,59,-118.191795|50.977361
1180,Mulberry Place,"",Nursing and residential care facilities,Province of British Columbia,"",2803,39 st,V1T 6J3,vernon,British Columbia,2803 39 st vernon bc v1t 6j3,Vernon,5937014,59,-119.2869228|50.2628808
1181,Mundy Street Residence,"",Nursing and residential care facilities,Province of British Columbia,"",316,mundy st,V3K 5M4,coquitlam,British Columbia,316 mundy st coquitlam bc v3k 5m4,Coquitlam,5915034,59,-122.8345635|49.2400763
1183,Murray House (p.d.s.c.l.),"",Nursing and residential care facilities,Province of British Columbia,"",110,murray dr,V2A 7E4,penticton,British Columbia,110 murray dr penticton bc v2a 7e4,Penticton,5907041,59,-119.5904134|49.4684905
1184,Murrayville Manor,"",Nursing and residential care facilities,Province of British Columbia,"",21616,46 ave,V3A 3J4,langley,British Columbia,21616 46th ave langley bc v3a 3j4,Langley,5915001,59,-122.624304|49.085552
1185,Muscroft House,"",Nursing and residential care facilities,Province of British Columbia,"",4433,francis road,V7C 1J8,richmond,British Columbia,4433 francis road richmond bc v7c 1j8,Richmond,5915015,59,-123.1746239|49.148604
1187,Nanaimo Seniors Village,"",Nursing and residential care facilities,Province of British Columbia,"",6085,uplands dr,V9V 1T8,nanaimo,British Columbia,6085 uplands dr nanaimo bc v9v 1t8,Nanaimo,5921007,59,-124.03886|49.236311
1188,Nancy Greene Way,"",Nursing and residential care facilities,Province of British Columbia,"",5793,nancy greene way,V7R 4W4,north vancouver,British Columbia,5793 nancy greene way north vancouver bc v7r 4w4,North Vancouver,5915046,59,-123.100531|49.3687958
1189,Nazirah House,"",Nursing and residential care facilities,Province of British Columbia,"",4560,imperial st,V5J 1B6,burnaby,British Columbia,4560 imperial st burnaby bc v5j 1b6,Burnaby,5915025,59,-123.0007978|49.2215495
1190,Nechako Center - Adult,"",Nursing and residential care facilities,Province of British Columbia,"",1308,alward st,V2M 7B1,prince george,British Columbia,1308 alward st prince george bc v2m 7b1,Prince George,5953023,59,-122.7663809|53.9110183
1192,Nelson Avenue,"",Nursing and residential care facilities,Province of British Columbia,"",7077,nelson ave,V5J 4B9,burnaby,British Columbia,7077 nelson ave burnaby bc v5j 4b9,Burnaby,5915025,59,-122.9945662|49.2192139
1193,Nelson Avenue Residence,"",Nursing and residential care facilities,Province of British Columbia,"",620,nelson ave,V1L 2N6,nelson,British Columbia,620 nelson ave nelson bc v1l 2n6,Nelson,5903015,59,-117.2789603|49.5042319
1194,Nelson Jubilee Manor,"",Nursing and residential care facilities,Province of British Columbia,"",500,beasley street w,V1L 6G9,nelson,British Columbia,500 beasley street west nelson bc v1l 6g9,Nelson,5903015,59,-117.2989961|49.4795674
1195,Nelson Residence,"",Nursing and residential care facilities,Province of British Columbia,"",5534,nelson avenue,V8A 4C8,powell river,British Columbia,5534 nelson avenue powell river bc v8a 4c8,Powell River,5927008,59,-124.5253194|49.8660534
