entry.id,jurisdiction,date.announced,date.implemented,category,type,primary.source.(news.release.or.specific.resource),secondary.source,action,level,indigenous.population.group,who,what,effective.until
AB012,Alberta,18348,18348,health services,delayed medical procedures,https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,Tightening,Provincial/territorial,FALSE,"chief medical officer of health, alberta precision laboratories, dynalife",all non-urgent scheduled and elective laboratory testing asked to stop. critical blood work will continue.,18988
AB013,Alberta,,18348,closures/openings,recreation,https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,Not applicable,Tightening,Provincial/territorial,FALSE,ministry of environment and parks,restricted parks access — vehicles no longer permitted,18988
AB014,Alberta,18351,18351,case management,test criteria,https://www.alberta.ca/release.cfm?xID=69961C8FA869F-A2ED-1F01-91C6C6B3800FCC51,Not applicable,Not applicable,Provincial/territorial,FALSE,"alberta health services, chief medical officer of health","stopped testing returning travellers, which explained why daily positive cases temporarily decreased",18988
AB016,Alberta,18353,18353,health workforce,safety guidelines,https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health",strict infection prevention protocols implemented in continuing care facilities to stop the spread of infection,18988
AB017,Alberta,18353,18353,case management,self-isolation,https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,Not applicable,Provincial/territorial,FALSE,chief medical officer of health,"exemption for travellers or those in close contact with covid-19 positive cases to attend their medically necessary appointments, with permission, in person",18988
AB018,Alberta,18354,18354,case management,test criteria,https://www.alberta.ca/release.cfm?xID=6998861D619F0-FD4B-F1BD-FCAFA247C962F06C,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health","required staff and operators in congregate settings to notify public health as soon as a case is suspected or confirmed, or if 2 or more residents exhibit covid-19 symptoms",18988
AB019,Alberta,18355,18355,health services,visitors,https://www.alberta.ca/release.cfm?xID=699969950607B-D32C-5384-72FF67F8EAFEDA54,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health","restricted hospital visitors. patients in hospital no longer permitted any in-person visitors, with some exceptions.",18988
AB020,Alberta,18358,18358,case management,test criteria,https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health","expanded testing criteria to focus on 
1) symptomatic patients — shortness of breath, runny rose, cough, fever or sore throat — who work in group homes, shelters and correctional facilities, or as first responders or in covid-19 enforcement; and 
2) symptomatic patients age 65+ with shortness of breath, runny rose, cough, fever or sore throat",18988
AB021,Alberta,18358,18358,public information,masks,https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health",recommendation to wear a face covering to prevent transmission. does not prevent illness of the person wearing it.,18988
AB024,Alberta,18360,18360,public information,projections,https://www.alberta.ca/covid-19-alberta-data.aspx,https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection.pdf,Not applicable,Provincial/territorial,FALSE,ministry of health,released projections for cases and critical care capacity,18988
AB025,Alberta,18360,18360,case management,test criteria,https://www.alberta.ca/release.cfm?xID=700419C42FE25-A580-998C-F6D9A324453B7F69,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health","expanded testing criteria to include 1) anyone in the calgary health zone with symptoms: shortness of breath, runny rose, cough, fever or sore throat; 2) essential workers in any health zone; 3) anyone in any health zone who has symptoms and lives with someone over 65 years old",18988
AB026,Alberta,18362,18362,health workforce,safety guidelines,https://www.alberta.ca/release.cfm?xID=700808F1AD262-0CEB-433E-C93F2450668973EA,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health",all workers in long-term care and alberta health services contracted provider and community settings are required to wear masks at all times while providing direct patient care.,18988
AB028,Alberta,18365,18365,case management,test criteria,https://www.alberta.ca/release.cfm?xID=7008498980F35-9211-D7B4-D8F044053FCA3D9E,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health","expanded testing criteria to anyone in alberta who has a fever, cough, shortness of breath, a runny nose or a sore throat",18988
AB029,Alberta,18322,18322,health workforce,licence reinstatement/reclassification,https://www.clpna.com/applicants/previously-licensed-alberta/,Not applicable,Not applicable,Provincial/territorial,FALSE,college of licensed practical nurses of alberta,"waived or modified registration requirements for former licensed practical nurses, allowing them to apply for temporary registration during the pandemic",18988
AB030,Alberta,18333,18333,case management,test criteria,https://www.albertahealthservices.ca/assets/info/hp/phys/if-hp-phys-moh-novel-coronavirus-update-external.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,"alberta health services, medical officers of health",published criteria for physicians and front-line clinical staff to prioritize screening people with fever and/or a cough or shortness of breath if they met specific criteria within 14 days before their symptoms started,18988
AB032,Alberta,18334,18334,health workforce,safety guidelines,"https://www.albertahealthservices.ca/topics/Page16947.aspx
",https://www.albertahealthservices.ca/assets/healthinfo/ipc/hi-ipc-emerging-issues-ncov.pdf,Tightening,Provincial/territorial,FALSE,alberta health services,daily fit for work screening protocol for health care staff before reporting to their workplace or unit if they have interactions with patients or staff,18988
AB033,Alberta,18336,18336,closures/openings,education,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health, premier","closure of elementary, middle and high schools",18988
AB034,Alberta,18336,18336,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health, premier","licensed child care, out-of-school care and preschool programs are closed.",18988
AB035,Alberta,18336,18336,closures/openings,education,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05#toc-1,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health, premier",in-person classes are cancelled for post-secondary education.,18988
AB036,Alberta,18337,18337,health services,telemedicine/virtual care,https://www.acslpa.ca/telepractice-information-for-acslpa-members/,https://www.acslpa.ca/covid-19-information/,Not applicable,Provincial/territorial,FALSE,alberta college of speech-language pathologists and audiologists,provided guidance for non-essential services delivered virtually,18988
AB037,Alberta,18337,18337,health workforce,licence reinstatement/reclassification,http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,Not applicable,Provincial/territorial,FALSE,college of physicians and surgeons of alberta,"launched cpsa emergency register to allow physicians currently registered in another province or territory to temporarily work in alberta during emergency circumstances, such as the current covid-19 pandemic",18988
AB038,Alberta,18337,18337,health workforce,licence reinstatement/reclassification,https://nurses.ab.ca/about/what-is-carna/news/news-story/updates-on-novel-coronavirus-covid19,Not applicable,Not applicable,Provincial/territorial,FALSE,college and association of registered nurses of alberta,"waived or modified registration requirements for former nurses, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 4 months",18988
AB039,Alberta,,18337,closures/openings,recreation,https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,Tightening,Provincial/territorial,FALSE,ministry of environment and parks,"restricted park facility access, keeping parks accessible. subsequent further restrictions made.",18988
AB041,Alberta,18338,18338,state of emergency,,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health",declared a public health state of emergency,18428
AB042,Alberta,18338,18338,closures/openings,recreation,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health","ordered closure of some publicly available institutions including arenas, museums, galleries, community centres, etc.",18988
AB043,Alberta,18338,18338,closures/openings,recreation,https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health","ordered closures of private entertainment facilities including gyms, swimming pools, casinos, etc.",18988
AB046,Alberta,18339,18339,health services,delayed medical procedures,https://www.alberta.ca/release.cfm?xID=698475F92ADBC-E588-02F3-7B986A4CD7641A45,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health","all non-urgent scheduled and elective surgeries are postponed. urgent and emergent care, oncology and c-section procedures will continue.",18988
AB050,Alberta,18348,18348,closures/openings,health services,https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#toc-2,https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-deena-hinshaw-1.5512445,Tightening,Provincial/territorial,FALSE,government of alberta,"suspended all non-emergency and non-critical health services provided by regulated health professionals or registered professionals including dentistry, dietitians, physiotherapy, occupational therapy, massage, podiatry, chiropractic and optometry.",18988
AB051,Alberta,18351,18351,health services,telemedicine/virtual care,https://www.clpna.com/2020/03/common-questions-on-lpn-practice-during-covid-19-info-sheet/,Not applicable,Not applicable,Provincial/territorial,FALSE,college of licensed practical nurses of alberta,provided standards of practice for provision of virtual care.,18988
AB053,Alberta,18362,18362,health workforce,safety guidelines,https://open.alberta.ca/publications/cmoh-order-10-2020-2020-covid-19-response,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, alberta health services, chief medical officer of health",order restricting movement of staff members between health care facilities,18988
AB061,Alberta,18337,18337,health workforce,licence reinstatement/reclassification,http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,Not applicable,Provincial/territorial,FALSE,college of physicians and surgeons of alberta,"waived or modified registration requirements for former physician assistants, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost",18988
AB062,Alberta,18338,18338,closures/openings,health services,http://collegeofdietitians.ab.ca/a-message-from-the-registrar-on-covid-19/,Not applicable,Tightening,Provincial/territorial,FALSE,college of dietitians of alberta — alberta registered dietitians’ association,suspended all non-essential/non-emergency treatment and services.,18988
AB063,Alberta,18345,18345,health services,telemedicine/virtual care,http://collegeofdietitians.ab.ca/wp-content/uploads/2020/03/Dietitians-using-Electronic-or-Virtual-Communications-1.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,college of dietitians of alberta — alberta registered dietitians’ association,provided guidance on non-essential services delivered virtually.,18988
AB064,Alberta,18347,18338,closures/openings,health services,https://abrda.ca/front-page/rda-practice-during-covid-19/,Not applicable,Tightening,Provincial/territorial,FALSE,college of alberta dental assistants,suspended all non-essential/non-emergency treatment and services.,18988
AB065,Alberta,18352,18348,health services,telemedicine/virtual care,https://www.cap.ab.ca/covid-19-updates-and-information,Not applicable,Tightening,Provincial/territorial,FALSE,college of alberta psychologists,recommended that members participate in telepractice where possible and restrict in-person care to urgent cases only.,18988
AB071,Alberta,18372,18372,health workforce,supply management,https://www.alberta.ca/release.cfm?xID=70127FF594C5C-CE00-2934-863516C3FEDF723E,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, minister of health",announced support to increase staffing of health care aides and alleviate pressures in contracted continuing care facilities,18988
AB079,Alberta,18380,18380,public information,projections,https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection-april-28.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, office of the premier",updated projection for cases and critical care capacity,18988
AB080,Alberta,18381,18381,distancing,gatherings,https://www.alberta.ca/release.cfm?xID=70207D315BDD2-0E06-E462-9E817EC8B314C55E#toc-6,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health","issued an exemption to the existing covid-19 gathering restrictions, and mandated physical distancing in outdoor spaces for the fort mcmurray area due to the emergency flooding situation",18988
AB081,Alberta,18380,18380,case management,outbreak definitions,https://open.alberta.ca/dataset/63fd3100-c64c-492e-9be0-cf62d83ad10f/resource/21817ec1-2daa-4d84-9171-c1132cb70963/download/health-cmoh-record-of-decision-cmoh-12-2020.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",updated operational and outbreak standards for long-term care and licensed supportive living facilities. the update is specific to how and when the resident should be tested to detect a possible outbreak as well as when an outbreak occurs.,18988
AB082,Alberta,18381,18381,case management,other,https://www.alberta.ca/release.cfm?xID=70205D0F7B98C-DB8F-FE95-B326545F47729166,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",announced new strategy in place involving prevention and preparedness; rapid response and timely notification of public health; and outbreak management using surveillance data and implementing setting-specific measures,18988
AB083,Alberta,18382,18382,public information,pandemic response plans,https://www.alberta.ca/release.cfm?xID=70217037B8E9C-C319-32CC-240D33487895E4F7,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, office of the premier",released 1st preliminary plans to reopen closed businesses,18988
AB084,Alberta,18383,18383,case management,contact tracing,https://www.alberta.ca/release.cfm?xID=702323575C511-AE93-C894-E1697D246FD90B38,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",launching of the new abtracetogether app to enhance current manual tracing processes and help albertans prevent community spread by quickly alerting people who may be at risk,18988
AB085,Alberta,18386,18386,health workforce,change in practice,https://www.alberta.ca/release.cfm?xID=71250C5D71902-FADC-21BD-C052BEC9A12ED2A8,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, minister of health",modified regulations to allow nurse practitioners to provide expanded care to nursing home residents,18988
AB087,Alberta,18387,18387,health services,equipment,https://www.alberta.ca/release.cfm?xID=71270025A4DC1-FB15-F194-0E10491C5AB8AD29,Not applicable,Not applicable,Provincial/territorial,FALSE,"government of alberta, officer of the premier, minister of health, alberta health services","announced investment of $1.7 million into virus detecting equipment and technology, doubling alberta’s maximum capacity for testing from 7,000 to 16,000 tests per day by june through investing in virus detecting equipment and technology",18988
AB088,Alberta,18380,18380,health workforce,safety guidelines,https://open.alberta.ca/dataset/2410b30f-2146-40b1-9a9f-a9010c702b0a/resource/41db09c6-612f-4363-89ea-b6e814dfcb30/download/health-cmoh-record-of-decision-cmoh-13-2020.pdf,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",ordered restrictions on movement of staff members in residential addiction treatment service facilities. this order also includes information on personal protective equipment.,18988
AB089,Alberta,18380,18380,health services,visitors,https://open.alberta.ca/dataset/1a2011e5-fc79-43b4-aab0-1c276b16b99b/resource/35ab8044-8c19-480a-9799-ef4f9b95c376/download/health-cmoh-record-of-decision-cmoh-14-2020.pdf,Not applicable,Easing,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",amended previous order on limits on guest visitation at health care facilities in alberta to allow for outdoor visits with a designated essential visitor and 1 other person (maximum group of 3) and to allow for visitation at end of life,18988
AB090,Alberta,18383,18383,closures/openings,recreation,https://open.alberta.ca/dataset/780f1365-f497-4cec-92f4-d8b5b7b506a5/resource/2e57b700-a629-4b0e-a278-a1d7400f4c87/download/health-cmoh-record-of-decision-cmoh-15-2020.pdf,Not applicable,Easing,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health","ordered removal of prohibition from attending a golf course, for the purpose of playing golf",18988
AB091,Alberta,18385,18386,closures/openings,health services,https://open.alberta.ca/dataset/2a615f78-aa9e-48d9-a323-9f2c08b07667/resource/fcca7551-9a32-4ec0-9545-aa5163f8a284/download/health-cmoh-record-of-decision-cmoh-16-2020.pdf,Not applicable,Easing,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health","announced the resumption of non-essential health services for albertans. for regulated health professionals, the college of each will be responsible for providing guidelines to its members who operate community health care clinics.",18988
AB092,Alberta,18387,18388,closures/openings,recreation,https://open.alberta.ca/dataset/402b7ea1-be63-4ce6-94a2-ea5e4383031d/resource/23cc0115-9b3a-45f6-91e3-f5219d7cd9bd/download/health-cmoh-record-of-decision-cmoh-17-2020.pdf,Not applicable,Easing,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health",removed the prohibition from attending an outdoor shooting range,18988
AB093,Alberta,18386,18386,health workforce,safety guidelines,https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,Not applicable,Provincial/territorial,FALSE,alberta college of speech-language pathologists and audiologists,published a guide describing the legislated obligations that apply to speech-language pathologists and audiologists as they reopen their practices,18988
AB094,Alberta,18382,18382,closures/openings,health services,https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,Easing,Provincial/territorial,FALSE,alberta college of speech-language pathologists and audiologists,"announced that non-essential services should not resume unless several conditions are met: new guidelines for reopened services are published; a sufficient supply of cleaners, sanitizers and personal protective equipment is acquired; and employers must meet occupational health and safety requirements",18988
AB095,Alberta,18375,18375,health services,telemedicine/virtual care,https://albertachiro.com/ACAC/Practice_Resources/Temporary_telehealth_permission.aspx,Not applicable,Not applicable,Provincial/territorial,FALSE,alberta college and association of chiropractors,expanded telehealth permissions so that chiropractors can conduct virtual consults with new patients. chiropractors must first receive permission from college.,18808
AB096,Alberta,18385,18386,health workforce,safety guidelines,https://pro-bee-beepro-messages.s3.amazonaws.com/443036/423016/822241/5111655.html?modified=1588535288977,Not applicable,Easing,Provincial/territorial,FALSE,alberta college and association of chiropractors,approved alberta college and association of chiropractors pandemic practice directive by the province. chiropractors may reopen only if they are able to implement the directive.,18988
AB097,Alberta,18380,18336,health services,telemedicine/virtual care,https://www.dentalhealthalberta.ca/Covid-19-info/other-resources/adac-communications/,Not applicable,Not applicable,Provincial/territorial,FALSE,alberta dental association and college,introduced a temporary billing code for remote consultation services — retroactive to 2020-03-15.,18988
AB098,Alberta,18386,18386,closures/openings,health services,https://collegeofoptometrists.ab.ca/wp-content/uploads/2020/05/Return_to_Routine_Optometry_Care.pdf,Not applicable,Easing,Provincial/territorial,FALSE,alberta college of optometrists,issued a directive allowing optometry clinics to offer routine care. the city of lloydminster is not included as is it governed under the saskatchewan public health act and must continue to offer emergency/urgent care services only.,18988
AB099,Alberta,18367,18367,health workforce,change in practice,https://crdha.ca/,Not applicable,Not applicable,Provincial/territorial,FALSE,college of registered dental hygienists of alberta,announced call for registered dental hygienists who are not presently alberta health services employees to volunteer during the covid-19 pandemic,18988
AB100,Alberta,18383,18386,health workforce,safety guidelines,https://www.dentalhealthalberta.ca/wp-content/uploads/2020/05/Guidelines-on-Emergency-Treatment_5.4.2020.pdf,Not applicable,Not applicable,Provincial/territorial,FALSE,alberta dental association and college,updated guidelines on emergency and urgent treatment. definitions of urgent treatment provided.,18988
AB102,Alberta,18348,18348,closures/openings,non-essential services,https://open.alberta.ca/dataset/c02f3b06-9c37-4845-98ee-d07d805fdce1/resource/32f3367d-9a15-4aef-af6e-4e960891c14e/download/health-cmoh-record-of-decision-cmoh-07-2020.pdf,https://www.alberta.ca/restrictions-on-businesses.aspx,Tightening,Provincial/territorial,FALSE,"government of alberta, premier, chief medical officer of health","ordered closures of non-essential places of business including any place of business providing personal services, wellness services and retail stores",18988
AB104,Alberta,18390,18390,closures/openings,recreation,https://www.alberta.ca/release.cfm?xID=713059FD4BFD2-C553-8318-CA124E3833514426,Not applicable,Easing,Provincial/territorial,FALSE,government of alberta,"permitted travel to summer homes, cabins and cottages within alberta, reminding albertans to consider local community guidelines and the health and safety of small communities",18988
AB105,Alberta,18390,18390,closures/openings,recreation,https://www.alberta.ca/release.cfm?xID=713059FD4BFD2-C553-8318-CA124E3833514426,Not applicable,Easing,Provincial/territorial,FALSE,government of alberta,"permitted outdoor gun ranges to open, with restrictions to ensure adequate physical distancing, increased sanitization and limited contact with high-touch objects and surfaces",18988
AB106,Alberta,18395,18396,closures/openings,recreation,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Provincial/territorial,FALSE,government of alberta,permitted museums and art galleries to resume operations in all areas,18988
AB107,Alberta,18395,18396,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted cafés, restaurants, pubs and bars to reopen for table service at 50% capacity in all areas except the cities of calgary and brooks",18988
AB108,Alberta,18395,18396,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Provincial/territorial,FALSE,government of alberta,"permitted retail businesses, such as clothing, furniture and bookstores, and farmers' markets to resume operations in all areas",18988
AB109,Alberta,18395,18396,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted hair stylists and barbershops to resume operations in all areas, except the cities of calgary and brooks",18988
AB110,Alberta,18395,18396,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Provincial/territorial,FALSE,government of alberta,"permitted daycares and out-of-school care to resume in all areas; facilities may operate with a maximum cohort of 10 people, including staff and children",18988
AB111,Alberta,18395,18396,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted day camps, including summer school, to resume in all areas except the cities of calgary and brooks; facilities may operate with a maximum cohort of 50 people, including staff and children",18988
AB112,Alberta,18395,18396,closures/openings,education,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,permitted post-secondary institutions in all areas except the cities of calgary and brooks to deliver courses with more flexibility for in-person delivery once the existing health order prohibiting in-person classes is lifted,18988
AB113,Alberta,18395,18396,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted places of worship and funeral services to reopen provided they follow specific guidance in all areas, except the cities of calgary and brooks",18988
AB114,Alberta,18395,18386,health services,resumed medical procedures,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,https://www.alberta.ca/release.cfm?xID=71415671C0F0F-09D5-D29B-90D4D50D2FD8CA1B,Easing,Provincial/territorial,FALSE,government of alberta,"resumed some scheduled, non-urgent surgeries gradually",18988
AB115,Alberta,18395,18396,closures/openings,health services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,https://www.alberta.ca/alberta-relaunch-strategy.aspx,Easing,Provincial/territorial,FALSE,government of alberta,"permitted regulated health professions in all areas of the province (e.g., dentists, physiotherapists, speech-language pathologists, respiratory therapists, audiologists, social workers, occupational therapists, dieticians, etc.) to offer all services as long as they continue to follow approved guidelines set by their professional colleges",18988
AB116,Alberta,18395,18407,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,permitted hair stylists and barbershops to resume operations in the cities of calgary and brooks,18988
AB117,Alberta,18395,18407,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted cafés, restaurants, pubs and bars in the cities of calgary and brooks to reopen for table service at 50% capacity",18988
AB119,Alberta,18395,18414,closures/openings,non-essential services,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,permitted places of worship and funeral services in the cities of calgary and brooks to reopen provided they follow specific guidance,18988
AB120,Alberta,18395,18414,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted day camps, including summer school, to resume in the cities of calgary and brooks; facilities may operate with a maximum cohort of 50 people, including staff and children",18988
