province,HA,CMA,CSD,
Alberta,Edmonton Zone,835 - Edmonton,4811016 - Leduc,
Alberta,Edmonton Zone,835 - Edmonton,4811012 - Leduc County,
Alberta,Edmonton Zone,835 - Edmonton,4811069 - Legal,
Alberta,Edmonton Zone,835 - Edmonton,4811068 - Morinville,
Alberta,Edmonton Zone,835 - Edmonton,4811034 - Parkland County,
Alberta,Edmonton Zone,835 - Edmonton,4811041 - Point Alison,
Alberta,Edmonton Zone,835 - Edmonton,4811038 - Seba Beach,
Alberta,Edmonton Zone,835 - Edmonton,4811046 - Spring Lake,
Alberta,Edmonton Zone,835 - Edmonton,4811049 - Spruce Grove,
Alberta,Edmonton Zone,835 - Edmonton,4811062 - St. Albert,
Alberta,Edmonton Zone,835 - Edmonton,4811048 - Stony Plain,
Alberta,Edmonton Zone,835 - Edmonton,4811804 - Stony Plain 135,
Alberta,Edmonton Zone,835 - Edmonton,4811052 - Strathcona County,
Alberta,Edmonton Zone,835 - Edmonton,4811059 - Sturgeon County,
Alberta,Edmonton Zone,835 - Edmonton,4811020 - Sundance Beach,
Alberta,Edmonton Zone,835 - Edmonton,4811021 - Thorsby,
Alberta,Edmonton Zone,835 - Edmonton,4811045 - Wabamun,
Alberta,Edmonton Zone,835 - Edmonton,4811806 - Wabamun 133A,
Alberta,Edmonton Zone,835 - Edmonton,4811807 - Wabamun 133B,
Alberta,Edmonton Zone,835 - Edmonton,4811024 - Warburg,
,,,,
Alberta,Central Zone,835 - Edmonton,4810066 - Bruderheim,
,,,,
Alberta,North Zone,835 - Edmonton,4811065 - Redwater,
Alberta,North Zone,835 - Edmonton,4811059 - Sturgeon County,
,,,,
Ontario,Sudbury and District Health Unit,580 - Greater Sudbury,3553005 - Greater Sudbury,
Ontario,Sudbury and District Health Unit,580 - Greater Sudbury,3552013 - Markstay-Warren,
Ontario,Sudbury and District Health Unit,580 - Greater Sudbury,3553040 - Wahnapitei 11,
Ontario,Sudbury and District Health Unit,580 - Greater Sudbury,3552051 - Whitefish Lake 6,
,,,,
Ontario,Wellington-Dufferin-Guelph Health Unit,550 - Guelph,3523008 - Guelph,
Ontario,Wellington-Dufferin-Guelph Health Unit,550 - Guelph,3523009 - Guelph/Eramosa,
Ontario,Wellington-Dufferin-Guelph Health Unit,550 - Guelph,3523001 - Puslinch,
,,,,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209037 - Beaver Lake 17,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209019 - Cole Harbour 30,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209034 - Halifax,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209038 - Sheet Harbour 36,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209029 - Shubenacadie 13,
Nova Scotia,Zone 4 – Central,205 - Halifax,1209800 - Wallace Hills 14A,
,,,,
Ontario,Halton Regional Health Unit,537 - Hamilton,3524002 - Burlington,
Ontario,Niagara Regional Area Health Unit,537 - Hamilton,3526065 - Grimsby,
Ontario,City of Hamilton Health Unit,537 - Hamilton,3525005 - Hamilton,
,,,,
British Columbia,Kootenay-Boundary Health Service Delivery Area,915 - Kelowna,5935012 - Central Okanagan,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935012 - Central Okanagan,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935020 - Central Okanagan J,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935801 - Duck Lake 7,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935010 - Kelowna,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935016 - Lake Country,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935018 - Peachland,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935802 - Tsinstikeptum 9,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935803 - Tsinstikeptum 10,
British Columbia,Okanagan Health Service Delivery Area,915 - Kelowna,5935029 - West Kelowna,
,,,,
Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",521 - Kingston,3510005 - Frontenac Islands,
Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",521 - Kingston,3510010 - Kingston,
Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",521 - Kingston,3511005 - Loyalist,
Ontario,"Kingston, Frontenac and Lennox and Addington Health Unit",521 - Kingston,3510020 - South Frontenac,
,,,,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530010 - Cambridge,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530013 - Kitchener,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530004 - North Dumfries,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530016 - Waterloo,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530020 - Wilmot,
Ontario,Waterloo Health Unit,541 - Kitchener--Cambridge--Waterloo,3530035 - Woolwich,
,,,,
Alberta,South Zone,810 - Lethbridge,4802016 - Barons,
Alberta,South Zone,810 - Lethbridge,4802019 - Coaldale,
Alberta,South Zone,810 - Lethbridge,4802013 - Coalhurst,
Alberta,South Zone,810 - Lethbridge,4802012 - Lethbridge,
Alberta,South Zone,810 - Lethbridge,4802011 - Lethbridge County,
Alberta,South Zone,810 - Lethbridge,4802014 - Nobleford,
Alberta,South Zone,810 - Lethbridge,4802018 - Picture Butte,
,,,,
Ontario,Middlesex-London Health Unit,555 - London,3539047 - Adelaide-Metcalfe,
Ontario,Elgin-St. Thomas Health Unit,555 - London,3534020 - Central Elgin,
Ontario,Middlesex-London Health Unit,555 - London,3539036 - London,
Ontario,Middlesex-London Health Unit,555 - London,3539036 - London,
Ontario,Middlesex-London Health Unit,555 - London,3539033 - Middlesex Centre,
Ontario,Elgin-St. Thomas Health Unit,555 - London,3534024 - Southwold,
Ontario,Elgin-St. Thomas Health Unit,555 - London,3534021 - St. Thomas,
Ontario,Middlesex-London Health Unit,555 - London,3539015 - Strathroy-Caradoc,
Ontario,Middlesex-London Health Unit,555 - London,3539027 - Thames Centre,
,,,,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306014 - Coverdale,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307045 - Dieppe,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307011 - Dorchester,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307012 - Dorchester,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306008 - Elgin,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307014 - Fort Folly 1,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306011 - Hillsborough,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306025 - Hillsborough,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306001 - Hopewell,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307013 - Memramcook,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307019 - Moncton,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307022 - Moncton,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1306020 - Riverview,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1308008 - Saint-Paul,
New Brunswick,Zone 1 (Moncton area),305 - Moncton,1307028 - Salisbury,
,,,,
Quebec,Region de Montreal,462 - Montréal,2466112 - Baie-D'Urfé,
Quebec,Region de Montreal,462 - Montréal,2466107 - Beaconsfield,
Quebec,Region de la Monteregie,462 - Montréal,2470022 - Beauharnois,
Quebec,Region de la Monteregie,462 - Montréal,2457040 - Beloeil,
Quebec,Region des Laurentides,462 - Montréal,2473015 - Blainville,
Quebec,Region des Laurentides,462 - Montréal,2473005 - Boisbriand,
Quebec,Region des Laurentides,462 - Montréal,2473030 - Bois-des-Filion,
Quebec,Region de la Monteregie,462 - Montréal,2458033 - Boucherville,
Quebec,Region de la Monteregie,462 - Montréal,2458007 - Brossard,
Quebec,Region de la Monteregie,462 - Montréal,2467020 - Candiac,
Quebec,Region de la Monteregie,462 - Montréal,2457010 - Carignan,
Quebec,Region de la Monteregie,462 - Montréal,2457005 - Chambly,
Quebec,Region de Lanaudiere,462 - Montréal,2460005 - Charlemagne,
Quebec,Region de la Monteregie,462 - Montréal,2467050 - Châteauguay,
Quebec,Region de la Monteregie,462 - Montréal,2471040 - Coteau-du-Lac,
Quebec,Region de Montreal,462 - Montréal,2466058 - Côte-Saint-Luc,
Quebec,Region de la Monteregie,462 - Montréal,2467025 - Delson,
Quebec,Region des Laurentides,462 - Montréal,2472010 - Deux-Montagnes,
Quebec,Region de Montreal,462 - Montréal,2466142 - Dollard-Des Ormeaux,
Quebec,Region de Montreal,462 - Montréal,2466087 - Dorval,
Quebec,Region des Laurentides,462 - Montréal,2476025 - Gore,
Quebec,Region de Montreal,462 - Montréal,2466062 - Hampstead,
Quebec,Region de la Monteregie,462 - Montréal,2471100 - Hudson,
Quebec,Region de la Monteregie,462 - Montréal,2467802 - Kahnawake,
Quebec,Region des Laurentides,462 - Montréal,2472802 - Kanesatake,
Quebec,Region de Montreal,462 - Montréal,2466102 - Kirkland,
Quebec,Region de la Monteregie,462 - Montréal,2467015 - La Prairie,
Quebec,Region de Lanaudiere,462 - Montréal,2460028 - L'Assomption,
Quebec,Region de Laval,462 - Montréal,2465005 - Laval,
Quebec,Region de Lanaudiere,462 - Montréal,2452007 - Lavaltrie,
Quebec,Region de Lanaudiere,462 - Montréal,2460035 - L'Épiphanie,
Quebec,Region de Lanaudiere,462 - Montréal,2460040 - L'Épiphanie,
Quebec,Region de la Monteregie,462 - Montréal,2467055 - Léry,
Quebec,Region de la Monteregie,462 - Montréal,2471050 - Les Cèdres,
Quebec,Region de la Monteregie,462 - Montréal,2471033 - Les Coteaux,
Quebec,Region de la Monteregie,462 - Montréal,2471095 - L'Île-Cadieux,
Quebec,Region de Montreal,462 - Montréal,2466092 - L'Île-Dorval,
Quebec,Region de Montreal,462 - Montréal,2471060 - L'Île-Perrot,
Quebec,Region de la Monteregie,462 - Montréal,2458227 - Longueuil,
Quebec,Region des Laurentides,462 - Montréal,2473025 - Lorraine,
Quebec,Region de Lanaudiere,462 - Montréal,2464015 - Mascouche,
Quebec,Region de la Monteregie,462 - Montréal,2457025 - McMasterville,
Quebec,Region de la Monteregie,462 - Montréal,2467045 - Mercier,
Quebec,Region des Laurentides,462 - Montréal,2474005 - Mirabel,
Quebec,Region de Montreal,462 - Montréal,2466023 - Montréal,
Quebec,Region de Montreal,462 - Montréal,2466007 - Montréal-Est,
Quebec,Region de Montreal,462 - Montréal,2466047 - Montréal-Ouest,
Quebec,Region de Montreal,462 - Montréal,2466072 - Mont-Royal,
Quebec,Region de la Monteregie,462 - Montréal,2457035 - Mont-Saint-Hilaire,
Quebec,Region de la Monteregie,462 - Montréal,2471065 - Notre-Dame-de-l'Île-Perrot,
Quebec,Region des Laurentides,462 - Montréal,2472032 - Oka,
Quebec,Region de la Monteregie,462 - Montréal,2457030 - Otterburn Park,
Quebec,Region de la Monteregie,462 - Montréal,2471070 - Pincourt,
Quebec,Region des Laurentides,462 - Montréal,2472020 - Pointe-Calumet,
Quebec,Region de Montreal,462 - Montréal,2466097 - Pointe-Claire,
Quebec,Region de la Monteregie,462 - Montréal,2471055 - Pointe-des-Cascades,
Quebec,Region de Lanaudiere,462 - Montréal,2460013 - Repentigny,
Quebec,Region de la Monteregie,462 - Montréal,2455057 - Richelieu,
Quebec,Region des Laurentides,462 - Montréal,2473020 - Rosemère,
Quebec,Region de la Monteregie,462 - Montréal,2459015 - Saint-Amable,
Quebec,Region de la Monteregie,462 - Montréal,2457020 - Saint-Basile-le-Grand,
Quebec,Region de la Monteregie,462 - Montréal,2458037 - Saint-Bruno-de-Montarville,
Quebec,Region des Laurentides,462 - Montréal,2475005 - Saint-Colomban,
Quebec,Region de la Monteregie,462 - Montréal,2467035 - Saint-Constant,
Quebec,Region de Montreal,462 - Montréal,2466117 - Sainte-Anne-de-Bellevue,
Quebec,Region des Laurentides,462 - Montréal,2473035 - Sainte-Anne-des-Plaines,
Quebec,Region de la Monteregie,462 - Montréal,2467030 - Sainte-Catherine,
Quebec,Region de la Monteregie,462 - Montréal,2459010 - Sainte-Julie,
Quebec,Region des Laurentides,462 - Montréal,2472015 - Sainte-Marthe-sur-le-Lac,
Quebec,Region des Laurentides,462 - Montréal,2473010 - Sainte-Thérèse,
Quebec,Region des Laurentides,462 - Montréal,2472005 - Saint-Eustache,
Quebec,Region de la Chaudiere-Appalaches,462 - Montréal,2467040 - Saint-Isidore,
Quebec,Region de la Monteregie,462 - Montréal,2456083 - Saint-Jean-sur-Richelieu,
Quebec,Region des Laurentides,462 - Montréal,2475017 - Saint-Jérôme,
Quebec,Region des Laurentides,462 - Montréal,2472025 - Saint-Joseph-du-Lac,
Quebec,Region de la Monteregie,462 - Montréal,2458012 - Saint-Lambert,
Quebec,Region de la Monteregie,462 - Montréal,2471105 - Saint-Lazare,
Quebec,Region de Lanaudiere,462 - Montréal,2463048 - Saint-Lin--Laurentides,
Quebec,Region de la Monteregie,462 - Montréal,2455065 - Saint-Mathias-sur-Richelieu,
Quebec,Region de la Monteregie,462 - Montréal,2467005 - Saint-Mathieu,
Quebec,Region de la Monteregie,462 - Montréal,2457045 - Saint-Mathieu-de-Beloeil,
Quebec,Region de la Monteregie,462 - Montréal,2467010 - Saint-Philippe,
Quebec,Region des Laurentides,462 - Montréal,2472043 - Saint-Placide,
Quebec,Region de Lanaudiere,462 - Montréal,2460020 - Saint-Sulpice,
Quebec,Region de la Monteregie,462 - Montréal,2471025 - Saint-Zotique,
Quebec,Region de Montreal,462 - Montréal,2466127 - Senneville,
Quebec,Region de la Monteregie,462 - Montréal,2471075 - Terrasse-Vaudreuil,
Quebec,Region de Lanaudiere,462 - Montréal,2464008 - Terrebonne,
Quebec,Region de la Monteregie,462 - Montréal,2459020 - Varennes,
Quebec,Region de la Monteregie,462 - Montréal,2471083 - Vaudreuil-Dorion,
Quebec,Region de la Monteregie,462 - Montréal,2471090 - Vaudreuil-sur-le-Lac,
Quebec,Region de la Monteregie,462 - Montréal,2459025 - Verchères,
Quebec,Region de Montreal,462 - Montréal,2466032 - Westmount,
,,,,
Ontario,Durham Regional Health Unit,532 - Oshawa,3518017 - Clarington,
Ontario,Durham Regional Health Unit,532 - Oshawa,3518013 - Oshawa,
Ontario,Durham Regional Health Unit,532 - Oshawa,3518009 - Whitby,
,,,,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480145 - Bowman,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482020 - Cantley,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482025 - Chelsea,
Ontario,Eastern Ontario Health Unit,505 - Ottawa--Gatineau,3502036 - Clarence-Rockland,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2483005 - Denholm,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2481017 - Gatineau,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482035 - La Pêche,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482005 - L'Ange-Gardien,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480055 - Lochaber,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480060 - Lochaber-Partie-Ouest,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480065 - Mayo,
Ontario,"Leeds, Grenville and Lanark District Health Unit",505 - Ottawa--Gatineau,3507065 - North Grenville,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482010 - Notre-Dame-de-la-Salette,
Ontario,City of Ottawa Health Unit,505 - Ottawa--Gatineau,3506008 - Ottawa,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482030 - Pontiac,
Ontario,Eastern Ontario Health Unit,505 - Ottawa--Gatineau,3502048 - Russell,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480050 - Thurso,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2480140 - Val-des-Bois,
Quebec,Region de l’Outaouais,505 - Ottawa--Gatineau,2482015 - Val-des-Monts,
,,,,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515013 - Cavan Monaghan,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515019 - Curve Lake First Nation 35,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515023 - Douro-Dummer,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515008 - Hiawatha First Nation,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515005 - Otonabee-South Monaghan,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515014 - Peterborough,
Ontario,Peterborough County – City Health Unit,529 - Peterborough,3515015 - Selwyn,
,,,,
Quebec,Region de la Chaudiere-Appalaches,421 - Québec,2419105 - Beaumont,
Quebec,Region de la Capitale-Nationale,421 - Québec,2421045 - Boischatel,
Quebec,Region de la Capitale-Nationale,421 - Québec,2421035 - Château-Richer,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422010 - Fossambault-sur-le-Lac,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422040 - Lac-Beauport,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422030 - Lac-Delage,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422015 - Lac-Saint-Joseph,
Quebec,Region de la Capitale-Nationale,421 - Québec,2423057 - L'Ancienne-Lorette,
Quebec,Region de la Capitale-Nationale,421 - Québec,2421040 - L'Ange-Gardien,
Quebec,Region de l’Outaouais,421 - Québec,2421040 - L'Ange-Gardien,
Quebec,Region de la Chaudiere-Appalaches,421 - Québec,2425213 - Lévis,
Quebec,Region de la Capitale-Nationale,421 - Québec,2434007 - Neuville,
Quebec,Region de la Capitale-Nationale,421 - Québec,2423015 - Notre-Dame-des-Anges,
Quebec,Region de la Capitale-Nationale,421 - Québec,2423027 - Québec,
Quebec,Region de la Chaudiere-Appalaches,421 - Québec,2433095 - Saint-Antoine-de-Tilly,
Quebec,Region de la Capitale-Nationale,421 - Québec,2423072 - Saint-Augustin-de-Desmaures,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422045 - Sainte-Brigitte-de-Laval,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422005 - Sainte-Catherine-de-la-Jacques-Cartier,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420010 - Sainte-Famille,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420030 - Sainte-Pétronille,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420005 - Saint-François-de-l'Île-d'Orléans,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422025 - Saint-Gabriel-de-Valcartier,
Quebec,Region de la Chaudiere-Appalaches,421 - Québec,2419068 - Saint-Henri,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420015 - Saint-Jean-de-l'Île-d'Orléans,
Quebec,Region de la Capitale-Nationale,421 - Québec,2426070 - Saint-Lambert-de-Lauzon,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420020 - Saint-Laurent-de-l'Île-d'Orléans,
Quebec,Region de la Capitale-Nationale,421 - Québec,2420025 - Saint-Pierre-de-l'Île-d'Orléans,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422020 - Shannon,
Quebec,Region de la Capitale-Nationale,421 - Québec,2422035 - Stoneham-et-Tewkesbury,
Quebec,Region de la Capitale-Nationale,421 - Québec,2423802 - Wendake,
,,,,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706032 - Balgonie,
Saskatchewan,Five Hills Regional Health Authority,705 - Regina,4706022 - Belle Plaine,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706055 - Buena Vista,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706054 - Disley,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706033 - Edenwold,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706029 - Edenwold No. 158,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706028 - Grand Coulee,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706011 - Lajord No. 128,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706056 - Lumsden,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706057 - Lumsden Beach,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706053 - Lumsden No. 189,
Saskatchewan,Saskatoon Regional Health Authority,705 - Regina,4706053 - Lumsden No. 189,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706023 - Pense,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706021 - Pense No. 160,
Saskatchewan,Five Hills Regional Health Authority,705 - Regina,4706021 - Pense No. 160,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706031 - Pilot Butte,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706027 - Regina,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706058 - Regina Beach,
Saskatchewan,Regina Qu'Appelle Regional Health Authority,705 - Regina,4706026 - Sherwood No. 159,
,,,,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494250 - Bégin,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494265 - Larouche,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494068 - Saguenay,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494260 - Saint-Charles-de-Bourget,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494245 - Saint-David-de-Falardeau,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494230 - Sainte-Rose-du-Nord,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494225 - Saint-Félix-d'Otis,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494235 - Saint-Fulgence,
Quebec,Region du Saguenay—Lac-Saint-Jean,408 - Saguenay,2494240 - Saint-Honoré,
,,,,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305015 - Grand Bay-Westfield,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305038 - Greenwich,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305006 - Hampton,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305007 - Hampton,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305014 - Kingston,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1302008 - Lepreau,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1301016 - Musquash,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305016 - Norton,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1304001 - Petersville,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305057 - Quispamsis,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305008 - Rothesay,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305045 - Rothesay,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1301006 - Saint John,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1301001 - Saint Martins,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1301004 - Simonds,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1301002 - St. Martins,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305004 - Upham,
New Brunswick,Zone 2 (Saint John area),310 - Saint John,1305011 - Westfield,
,,,,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4715019 - Aberdeen,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4715018 - Aberdeen No. 373,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711072 - Allan,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4712059 - Asquith,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711069 - Blucher No. 343,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711071 - Bradwell,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711077 - Clavet,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711079 - Colonsay,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711076 - Colonsay No. 342,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711065 - Corman Park No. 344,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711073 - Dalmeny,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4712056 - Delisle,
