province,HA,CA,CSD,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102070 - Warren Grove,
Prince Edward Island,Prince Edward Island,105 - Charlottetown,1102065 - Winsloe South,
,,,,
Ontario,Chatham-Kent Health Unit,556 - Chatham-Kent,3536020 - Chatham-Kent,
,,556 - Chatham-Kent,3536029 - Moravian 47,
,,,,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909835 - Aitchelitch 9,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909837 - Cheam 1,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909020 - Chilliwack,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909034 - Fraser Valley D,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909036 - Fraser Valley E,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909035 - Fraser Valley H,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909027 - Harrison Hot Springs,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909032 - Kent,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909821 - Kwawkwawapilt 6,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909844 - Popkum 1,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909838 - Schelowat 1,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909833 - Scowlitz 1,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909832 - Seabird Island,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909884 - Skowkale,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909824 - Skwah 4,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909849 - Skwahla 2,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909825 - Skwali 3,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909826 - Skway 5,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909827 - Soowahlie 14,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909885 - Squiaala,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909834 - Tseatah 2,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909830 - Tzeachten 13,
British Columbia,Fraser East Health Service Delivery Area,930 - Chilliwack,5909831 - Yakweakwioose 12,
,,,,
Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit",527 - Cobourg,3514021 - Cobourg,
,,,,
Alberta,North Zone,845 - Cold Lake,4812002 - Cold Lake,
,,,,
Ontario,Simcoe Muskoka District Health Unit,567 - Collingwood,3543031 - Collingwood,
,,,,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005018 - Corner Brook,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,"1005010 - Division No. 5, Subd. F",
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005015 - Gillams,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005028 - Hughes Brook,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005020 - Humber Arm South,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005030 - Irishtown-Summerside,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005017 - Massey Drive,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005022 - McIvers,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005025 - Meadows,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005033 - Mount Moriah,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005012 - Pasadena,
Newfoundland and Labrador,Western Regional Integrated health Authority,015 - Corner Brook,1005011 - Steady Brook,
,,,,
Ontario,Eastern Ontario Health Unit,501 - Cornwall,3501012 - Cornwall,
Ontario,Eastern Ontario Health Unit,501 - Cornwall,3501011 - South Stormont,
,,,,
British Columbia,North Vancouver Island Health Service Delivery Area,943 - Courtenay,5926005 - Comox,
British Columbia,North Vancouver Island Health Service Delivery Area,943 - Courtenay,5926801 - Comox 1,
British Columbia,North Vancouver Island Health Service Delivery Area,943 - Courtenay,5926021 - Comox Valley A,
British Columbia,North Vancouver Island Health Service Delivery Area,943 - Courtenay,5926022 - Comox Valley B (Lazo North),
British Columbia,North Vancouver Island Health Service Delivery Area,943 - Courtenay,5926010 - Courtenay,
,,,,
Quebec,Région de l'Estrie,437 - Cowansville,2446080 - Cowansville,
,,,,
British Columbia,East Kootenay Health Service Delivery Area,905 - Cranbrook,5901805 - Cassimayooks (Mayook) 5,
British Columbia,East Kootenay Health Service Delivery Area,905 - Cranbrook,5901022 - Cranbrook,
British Columbia,East Kootenay Health Service Delivery Area,905 - Cranbrook,5901035 - East Kootenay C,
British Columbia,East Kootenay Health Service Delivery Area,905 - Cranbrook,5901802 - Isidore's Ranch 4,
,,,,
British Columbia,Northeast Health Service Delivery Area,975 - Dawson Creek,5955014 - Dawson Creek,
,,,,
Quebec,Region du Saguenay—Lac-Saint-Jean,411 - Dolbeau-Mistassini,2492022 - Dolbeau-Mistassini,
Quebec,Region du Saguenay—Lac-Saint-Jean,411 - Dolbeau-Mistassini,2492015 - Sainte-Jeanne-d'Arc,
Quebec,Region du Saguenay—Lac-Saint-Jean,411 - Dolbeau-Mistassini,2492070 - Saint-Stanislas,
,,,,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449058 - Drummondville,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449025 - L'Avenir,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449020 - Lefebvre,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449075 - Notre-Dame-du-Bon-Conseil,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449080 - Notre-Dame-du-Bon-Conseil,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449070 - Saint-Cyrille-de-Wendover,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449100 - Saint-Edmond-de-Grantham,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449048 - Saint-Germain-de-Grantham,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449030 - Saint-Lucien,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449095 - Saint-Majorique-de-Grantham,
Quebec,Region de la Mauricie et du Centre-du-Quebec,447 - Drummondville,2449040 - Wickham,
,,,,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919822 - Cowichan,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919013 - Cowichan Valley D,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919051 - Cowichan Valley E,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919012 - Duncan,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919801 - Halalt 2,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919808 - Kil-pah-las 3,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919008 - North Cowichan,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919802 - Squaw-hay-one 11,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919818 - Theik 2,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919803 - Tsussie 6,
British Columbia,Central Vancouver Island Health Service Selivery Area,937 - Duncan,5919821 - Tzart-Lam 5,
,,,,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313034 - Baker Brook,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313035 - Baker-Brook,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313027 - Edmundston,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313014 - Rivière-Verte,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313015 - Rivière-Verte,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313018 - Saint-Basile,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313032 - Saint-Hilaire,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313024 - Saint-Jacques,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313022 - Saint-Joseph,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313020 - St. Basile 10,
New Brunswick,Zone 4 (Edmundston Area),335 - Edmundston,1313033 - St. Hilaire,
,,,,
Ontario,District of Algoma Health Unit,582 - Elliot Lake,3557041 - Elliot Lake,
,,,,
Saskatchewan,Sun Country Regional health Authority,750 - Estevan,4701021 - Bienfait,
Saskatchewan,Sun Country Regional health Authority,750 - Estevan,4701024 - Estevan,
Saskatchewan,Sun Country Regional health Authority,750 - Estevan,4701022 - Estevan No. 5,
,,,,
British Columbia,Northeast Health Service Delivery Area,977 - Fort St. John,5955034 - Fort St. John,
British Columbia,Northeast Health Service Delivery Area,977 - Fort St. John,5955042 - Peace River C,
British Columbia,Northeast Health Service Delivery Area,977 - Fort St. John,5955030 - Taylor,
,,,,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310026 - Bright,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310034 - Devon 30,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310028 - Douglas,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310032 - Fredericton,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1303004 - Gladstone,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310017 - Hanwell,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310005 - Harvey,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310018 - Kingsclear,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310019 - Kingsclear 6,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1303008 - Lincoln,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310004 - Manners Sutton,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1303016 - Maugerville,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310001 - New Maryland,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310002 - New Maryland,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310021 - Queensbury,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1310031 - Saint Marys,
New Brunswick,Zone 3 (Fredericton area),320 - Fredericton,1303005 - Tracy,
,,,,
Newfoundland and Labrador,Central Regional Integrated Health Authority,011 - Gander,1006011 - Appleton,
Newfoundland and Labrador,Central Regional Integrated Health Authority,011 - Gander,"1006008 - Division No. 6, Subd. E",
Newfoundland and Labrador,Central Regional Integrated Health Authority,011 - Gander,1006009 - Gander,
Newfoundland and Labrador,Central Regional Integrated Health Authority,011 - Gander,1006012 - Glenwood,
,,,,
Quebec,Region de l’Estrie,450 - Granby,2446078 - Bromont,
Quebec,Region de l’Estrie,450 - Granby,2447017 - Granby,
Quebec,Region de l’Estrie,450 - Granby,2447047 - Roxton Pond,
Quebec,Region de l’Estrie,450 - Granby,2447010 - Saint-Alphonse-de-Granby,
Quebec,Region de l’Estrie,450 - Granby,2455015 - Saint-Paul-d'Abbotsford,
,,,,
Newfoundland and Labrador,Central Regional Integrated Health Authority,010 - Grand Falls-Windsor,1006017 - Grand Falls-Windsor,
,,,,
Alberta,North Zone,850 - Grande Prairie,4819012 - Grande Prairie,
,,,,
Ontario,Eastern Ontario Health Unit,502 - Hawkesbury,2476055 - Grenville,
Ontario,Eastern Ontario Health Unit,502 - Hawkesbury,3502008 - Hawkesbury,
,,,,
Quebec,Region des Laurentides,502 - Hawkesbury,2476055 - Grenville,duplication not a mistake
Quebec,Region des Laurentides,502 - Hawkesbury,3502008 - Hawkesbury,the area is split between Ontario and Quebec
,,,,
Alberta,Calgary Zone,821 - High River,4806006 - High River,
,,,,
Ontario,Oxford County Health Unit,533 - Ingersoll,3532018 - Ingersoll,
,,,,
Quebec,Region de Lanaudiere,456 - Joliette,2461025 - Joliette,
Quebec,Region de Lanaudiere,456 - Joliette,2461030 - Notre-Dame-des-Prairies,
Quebec,Region de Lanaudiere,456 - Joliette,2461035 - Saint-Charles-Borromée,
Quebec,Region de Lanaudiere,456 - Joliette,2461005 - Saint-Paul,
,,,,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933054 - Chase,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933042 - Kamloops,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933880 - Kamloops 1,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933035 - Logan Lake,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933884 - Sahhaltkum 4,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933045 - Sun Peaks Mountain,
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933039 - Thompson-Nicola J (Copper Desert Country),
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933044 - Thompson-Nicola P (Rivers and the Peaks),
British Columbia,Thompson/Cariboo Health Service Delivery Area,925 - Kamloops,5933877 - Whispering Pines 4,
,,,,
Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit",530 - Kawartha Lakes,3516010 - Kawartha Lakes,
,,,,
Ontario,Peterborough County – City Health Unit,530 - Kawartha Lakes,3516010 - Kawartha Lakes,
,,,,
Ontario,Northwestern Health Unit,598 - Kenora,3560010 - Kenora,
,,,,
Nova Scotia,Zone 1 – Western,210 - Kentville,1207012 - Kentville,
Nova Scotia,Zone 1 – Western,210 - Kentville,"1207016 - Kings, Subd. B",
Nova Scotia,Zone 1 – Western,210 - Kentville,"1207011 - Kings, Subd. C",
,,,,
Quebec,Region des Laurentides,468 - Lachute,2476020 - Lachute,
,,,,
Alberta,Central Zone,832 - Lacombe,4808031 - Lacombe,
,,,,
Ontario,Windsor-Essex County Health Unit,557 - Leamington,3537013 - Kingsville,
Ontario,Windsor-Essex County Health Unit,557 - Leamington,3537003 - Leamington,
,,,,
Saskatchewan,Prairie North Regional Health Authority,840 - Lloydminster,4717024 - Lashburn,
Saskatchewan,Prairie North Regional Health Authority,840 - Lloydminster,4717029 - Lloydminster (Part),
Saskatchewan,Prairie North Regional Health Authority,840 - Lloydminster,4717026 - Marshall,
Saskatchewan,Prairie North Regional Health Authority,840 - Lloydminster,4717022 - Wilton No. 472,
,,,,
Alberta,Central Zone,840 - Lloydminster,4810039 - Lloydminster (Part),
,,,,
Quebec,Region du Bas-Saint-Laurent,403 - Matane,2408053 - Matane,
Quebec,Region du Bas-Saint-Laurent,403 - Matane,2408023 - Sainte-Félicité,
Quebec,Region du Bas-Saint-Laurent,403 - Matane,2408035 - Saint-René-de-Matane,
Quebec,Region du Bas-Saint-Laurent,403 - Matane,2408073 - Saint-Ulric,
,,,,
Alberta,South Zone,805 - Medicine Hat,4801003 - Cypress County,
Alberta,South Zone,805 - Medicine Hat,4801006 - Medicine Hat,
Alberta,South Zone,805 - Medicine Hat,4801018 - Redcliff,
,,,,
Ontario,Simcoe Muskoka District Health Unit,571 - Midland,3543074 - Midland,
Ontario,Simcoe Muskoka District Health Unit,571 - Midland,3543072 - Penetanguishene,
Ontario,Simcoe Muskoka District Health Unit,571 - Midland,3543071 - Tay,
,,,,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309034 - Big Hole Tract 8 (South Half),
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309006 - Chatham,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309011 - Derby,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309035 - Eel Ground 2,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309004 - Glenelg,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309050 - Miramichi,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309014 - Nelson,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309031 - Newcastle,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309028 - Northesk,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309023 - Red Bank 4,
New Brunswick,Zone 7 (Miramichi area),329 - Miramichi,1309026 - Southesk,
,,,,
Saskatchewan,Five Hills Regional Health Authority,715 - Moose Jaw,4707039 - Moose Jaw,
Saskatchewan,Five Hills Regional Health Authority,715 - Moose Jaw,4707038 - Moose Jaw No. 161,
,,,,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921008 - Lantzville,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921007 - Nanaimo,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921010 - Nanaimo A,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921016 - Nanaimo C,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921807 - Nanaimo River,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921804 - Nanaimo Town 1,
British Columbia,Central Vancouver Island Health Service Selivery Area,938 - Nanaimo,5921805 - Nanoose,
,,,,
British Columbia,Kootenay-Boundary Health Service Delivery Area,907 - Nelson,5903041 - Central Kootenay E,
British Columbia,Kootenay-Boundary Health Service Delivery Area,907 - Nelson,5903043 - Central Kootenay F,
British Columbia,Kootenay-Boundary Health Service Delivery Area,907 - Nelson,5903015 - Nelson,
,,,,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212019 - Fisher's Grant 24,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212023 - Merigomish Harbour 31,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212014 - New Glasgow,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,"1212006 - Pictou, Subd. B",
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,"1212011 - Pictou, Subd. C",
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212009 - Stellarton,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212016 - Trenton,
Nova Scotia,Zone 2 – Northern,220 - New Glasgow,1212008 - Westville,
,,,,
Ontario,Haldimand-Norfolk Health Unit,547 - Norfolk,3528052 - Norfolk County,
,,,,
Saskatchewan,Prairie North Regional Health Authority,735 - North Battleford,4712079 - Battleford,
Saskatchewan,Prairie North Regional Health Authority,735 - North Battleford,4716027 - North Battleford,
Saskatchewan,Prairie North Regional Health Authority,735 - North Battleford,4716029 - North Battleford,
Saskatchewan,Prairie North Regional Health Authority,735 - North Battleford,4716028 - North Battleford No. 437,
,,,,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3548027 - Bonfield,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3549066 - Callander,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3548031 - Chisholm,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3548034 - East Ferris,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3549071 - Nipissing,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,"3548094 - Nipissing, Unorganized, North Part",
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3548044 - North Bay,
Ontario,North Bay Parry Sound District Health Unit,575 - North Bay,3549060 - Powassan,
,,,,
Alberta,Calgary Zone,820 - Okotoks,4806012 - Okotoks,
,,,,
Ontario,Simcoe Muskoka District Health Unit,569 - Orillia,3543052 - Orillia,
,,,,
Ontario,Grey Bruce Health Unit,566 - Owen Sound,3542053 - Georgian Bluffs,
Ontario,Grey Bruce Health Unit,566 - Owen Sound,3542059 - Owen Sound,
,,,,
British Columbia,Central Vancouver Island Health Service Selivery Area,939 - Parksville,5921034 - Nanaimo G,
British Columbia,Central Vancouver Island Health Service Selivery Area,939 - Parksville,5921018 - Parksville,
,,,5921023 - Qualicum Beach,
,,,,
Ontario,Renfrew County and District Health Unit,515 - Pembroke,3547075 - Laurentian Valley,
Ontario,Renfrew County and District Health Unit,515 - Pembroke,3547064 - Pembroke,
,,,,
British Columbia,Okanagan Health Service Delivery Area,913 - Penticton,5907047 - Okanagan-Similkameen D,
British Columbia,Okanagan Health Service Delivery Area,913 - Penticton,5907051 - Okanagan-Similkameen F,
British Columbia,Okanagan Health Service Delivery Area,913 - Penticton,5907041 - Penticton,
British Columbia,Okanagan Health Service Delivery Area,913 - Penticton,5907803 - Penticton 1,
,,,,
