HA_code,province,HA,notes
2435,Quebec,Mauricie et du Centre-du-Quebec,
2437,Quebec,Mauricie et du Centre-du-Quebec,
2438,Quebec,Mauricie et du Centre-du-Quebec,
2439,Quebec,Mauricie et du Centre-du-Quebec,
2449,Quebec,Mauricie et du Centre-du-Quebec,
2450,Quebec,Mauricie et du Centre-du-Quebec,
2490,Quebec,Mauricie et du Centre-du-Quebec,
2436,Quebec,Mauricie et du Centre-du-Quebec,
2448,Quebec,Monteregie,
2451,Quebec,Monteregie,
2453,Quebec,Monteregie,
2454,Quebec,Monteregie,
2455,Quebec,Monteregie,
2456,Quebec,Monteregie,
2457,Quebec,Monteregie,
2458,Quebec,Monteregie,
2459,Quebec,Monteregie,
2467,Quebec,Monteregie,
2468,Quebec,Monteregie,
2469,Quebec,Monteregie,
2470,Quebec,Monteregie,
2471,Quebec,Monteregie,
2466,Quebec,Montreal,
2471,Quebec,Montreal,
2480,Quebec,Outaouais,
2483,Quebec,Outaouais,
2484,Quebec,Outaouais,
2481,Quebec,Outaouais,
2482,Quebec,Outaouais,
2439,Quebec,Saguenay-Lac-Saint-Jean,
2491,Quebec,Saguenay-Lac-Saint-Jean,
2492,Quebec,Saguenay-Lac-Saint-Jean,
2493,Quebec,Saguenay-Lac-Saint-Jean,
2494,Quebec,Saguenay-Lac-Saint-Jean,
2499,Quebec,Terres-Crie-de-la-Baie-James,
4708,Saskatchewan,Cypress Regional,
4707,Saskatchewan,Five Hills Regional,
4706,Saskatchewan,Five Hills Regional,
4712,Saskatchewan,Prairie North Regional,
4716,Saskatchewan,Prairie North Regional,
4717,Saskatchewan,Prairie North Regional,
4715,Saskatchewan,Prince Albert Parkland Regional,
4706,Saskatchewan,Regina Qu’Appelle Regional,
4711,Saskatchewan,Saskatoon Regional,
4701,Saskatchewan,Sun Country Regional,
4702,Saskatchewan,Sun Country Regional,
4709,Saskatchewan,Sunrise Regional,
6001,Yukon,Yukon,
