"CSDUID2016","HRUID2018","HR","Province"
1001559,1011,"Eastern","Newfoundland and Labrador"
1009001,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1009012,1013,"Western","Newfoundland and Labrador"
1008070,1012,"Central","Newfoundland and Labrador"
1009018,1013,"Western","Newfoundland and Labrador"
1009047,1013,"Western","Newfoundland and Labrador"
1009048,1013,"Western","Newfoundland and Labrador"
1009023,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001120,1011,"Eastern","Newfoundland and Labrador"
1001456,1011,"Eastern","Newfoundland and Labrador"
1009022,1013,"Western","Newfoundland and Labrador"
1009019,1013,"Western","Newfoundland and Labrador"
1009030,1013,"Western","Newfoundland and Labrador"
1001405,1011,"Eastern","Newfoundland and Labrador"
1001332,1011,"Eastern","Newfoundland and Labrador"
1007006,1011,"Eastern","Newfoundland and Labrador"
1001385,1011,"Eastern","Newfoundland and Labrador"
1001357,1011,"Eastern","Newfoundland and Labrador"
1007014,1011,"Eastern","Newfoundland and Labrador"
1001281,1011,"Eastern","Newfoundland and Labrador"
1001328,1011,"Eastern","Newfoundland and Labrador"
1001446,1011,"Eastern","Newfoundland and Labrador"
1001312,1011,"Eastern","Newfoundland and Labrador"
1007025,1011,"Eastern","Newfoundland and Labrador"
1007026,1011,"Eastern","Newfoundland and Labrador"
1007027,1011,"Eastern","Newfoundland and Labrador"
1007022,1011,"Eastern","Newfoundland and Labrador"
1001343,1011,"Eastern","Newfoundland and Labrador"
1001308,1011,"Eastern","Newfoundland and Labrador"
1001325,1011,"Eastern","Newfoundland and Labrador"
1001505,1011,"Eastern","Newfoundland and Labrador"
1001437,1011,"Eastern","Newfoundland and Labrador"
1001267,1011,"Eastern","Newfoundland and Labrador"
1007042,1012,"Central","Newfoundland and Labrador"
1009010,1013,"Western","Newfoundland and Labrador"
1001461,1011,"Eastern","Newfoundland and Labrador"
1001361,1011,"Eastern","Newfoundland and Labrador"
1007046,1012,"Central","Newfoundland and Labrador"
1001511,1011,"Eastern","Newfoundland and Labrador"
1005011,1013,"Western","Newfoundland and Labrador"
1008001,1012,"Central","Newfoundland and Labrador"
1006012,1012,"Central","Newfoundland and Labrador"
1004022,1013,"Western","Newfoundland and Labrador"
1008054,1012,"Central","Newfoundland and Labrador"
1001365,1011,"Eastern","Newfoundland and Labrador"
1009015,1013,"Western","Newfoundland and Labrador"
1011015,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1005006,1013,"Western","Newfoundland and Labrador"
1005023,1013,"Western","Newfoundland and Labrador"
1005022,1013,"Western","Newfoundland and Labrador"
1005001,1013,"Western","Newfoundland and Labrador"
1009041,1013,"Western","Newfoundland and Labrador"
1009016,1013,"Western","Newfoundland and Labrador"
1002031,1011,"Eastern","Newfoundland and Labrador"
1009013,1013,"Western","Newfoundland and Labrador"
1001140,1011,"Eastern","Newfoundland and Labrador"
1007054,1012,"Central","Newfoundland and Labrador"
1007041,1012,"Central","Newfoundland and Labrador"
1003006,1012,"Central","Newfoundland and Labrador"
1005015,1013,"Western","Newfoundland and Labrador"
1001441,1011,"Eastern","Newfoundland and Labrador"
1001277,1011,"Eastern","Newfoundland and Labrador"
1011040,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1003026,1013,"Western","Newfoundland and Labrador"
1003033,1013,"Western","Newfoundland and Labrador"
1008091,1012,"Central","Newfoundland and Labrador"
1005003,1013,"Western","Newfoundland and Labrador"
1011035,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1005019,1013,"Western","Newfoundland and Labrador"
1010802,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010009,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1007040,1012,"Central","Newfoundland and Labrador"
1008056,1012,"Central","Newfoundland and Labrador"
1002039,1011,"Eastern","Newfoundland and Labrador"
1002029,1011,"Eastern","Newfoundland and Labrador"
1002041,1011,"Eastern","Newfoundland and Labrador"
1007060,1012,"Central","Newfoundland and Labrador"
1009034,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1002011,1011,"Eastern","Newfoundland and Labrador"
1002055,1011,"Eastern","Newfoundland and Labrador"
1010002,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1002017,1011,"Eastern","Newfoundland and Labrador"
1002025,1011,"Eastern","Newfoundland and Labrador"
1002021,1011,"Eastern","Newfoundland and Labrador"
1008042,1012,"Central","Newfoundland and Labrador"
1006008,1012,"Central","Newfoundland and Labrador"
1008004,1012,"Central","Newfoundland and Labrador"
1007056,1012,"Central","Newfoundland and Labrador"
1008026,1012,"Central","Newfoundland and Labrador"
1007037,1012,"Central","Newfoundland and Labrador"
1005014,1013,"Western","Newfoundland and Labrador"
1001105,1011,"Eastern","Newfoundland and Labrador"
1008053,1012,"Central","Newfoundland and Labrador"
1004017,1013,"Western","Newfoundland and Labrador"
1001178,1011,"Eastern","Newfoundland and Labrador"
1001144,1011,"Eastern","Newfoundland and Labrador"
1001149,1011,"Eastern","Newfoundland and Labrador"
1007032,1011,"Eastern","Newfoundland and Labrador"
1008076,1012,"Central","Newfoundland and Labrador"
1008052,1012,"Central","Newfoundland and Labrador"
1008093,1012,"Central","Newfoundland and Labrador"
1001434,1011,"Eastern","Newfoundland and Labrador"
1008066,1012,"Central","Newfoundland and Labrador"
1010004,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1004037,1013,"Western","Newfoundland and Labrador"
1008062,1012,"Central","Newfoundland and Labrador"
1002013,1011,"Eastern","Newfoundland and Labrador"
1002044,1011,"Eastern","Newfoundland and Labrador"
1011005,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010005,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1008071,1012,"Central","Newfoundland and Labrador"
1010011,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010001,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010042,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1002006,1011,"Eastern","Newfoundland and Labrador"
1001316,1011,"Eastern","Newfoundland and Labrador"
1011010,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1009011,1013,"Western","Newfoundland and Labrador"
1008072,1012,"Central","Newfoundland and Labrador"
1001101,1011,"Eastern","Newfoundland and Labrador"
1002026,1011,"Eastern","Newfoundland and Labrador"
1008098,1012,"Central","Newfoundland and Labrador"
1005009,1013,"Western","Newfoundland and Labrador"
1007043,1012,"Central","Newfoundland and Labrador"
1001512,1011,"Eastern","Newfoundland and Labrador"
1009024,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1009017,1013,"Western","Newfoundland and Labrador"
1010010,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1007036,1011,"Eastern","Newfoundland and Labrador"
1007039,1012,"Central","Newfoundland and Labrador"
1010006,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1008029,1012,"Central","Newfoundland and Labrador"
1008011,1012,"Central","Newfoundland and Labrador"
1010012,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1005017,1013,"Western","Newfoundland and Labrador"
1003004,1012,"Central","Newfoundland and Labrador"
1008077,1012,"Central","Newfoundland and Labrador"
1008065,1012,"Central","Newfoundland and Labrador"
1008049,1012,"Central","Newfoundland and Labrador"
1001214,1011,"Eastern","Newfoundland and Labrador"
1010003,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1010013,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1003001,1012,"Central","Newfoundland and Labrador"
1010007,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1001192,1011,"Eastern","Newfoundland and Labrador"
1001274,1011,"Eastern","Newfoundland and Labrador"
1011030,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1004021,1013,"Western","Newfoundland and Labrador"
1008024,1012,"Central","Newfoundland and Labrador"
1002030,1011,"Eastern","Newfoundland and Labrador"
1005035,1013,"Western","Newfoundland and Labrador"
1003005,1012,"Central","Newfoundland and Labrador"
1008048,1012,"Central","Newfoundland and Labrador"
1008075,1012,"Central","Newfoundland and Labrador"
1008092,1012,"Central","Newfoundland and Labrador"
1009020,1013,"Western","Newfoundland and Labrador"
1005025,1013,"Western","Newfoundland and Labrador"
1001285,1011,"Eastern","Newfoundland and Labrador"
1001186,1011,"Eastern","Newfoundland and Labrador"
1009021,1013,"Western","Newfoundland and Labrador"
1003003,1012,"Central","Newfoundland and Labrador"
1008047,1012,"Central","Newfoundland and Labrador"
1009042,1013,"Western","Newfoundland and Labrador"
1001289,1011,"Eastern","Newfoundland and Labrador"
1002014,1011,"Eastern","Newfoundland and Labrador"
1006021,1012,"Central","Newfoundland and Labrador"
1001254,1011,"Eastern","Newfoundland and Labrador"
1009026,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1002040,1011,"Eastern","Newfoundland and Labrador"
1002027,1011,"Eastern","Newfoundland and Labrador"
1003042,1013,"Western","Newfoundland and Labrador"
1003021,1013,"Western","Newfoundland and Labrador"
1004033,1013,"Western","Newfoundland and Labrador"
1007057,1012,"Central","Newfoundland and Labrador"
1003038,1013,"Western","Newfoundland and Labrador"
1002015,1011,"Eastern","Newfoundland and Labrador"
1008045,1012,"Central","Newfoundland and Labrador"
1001207,1011,"Eastern","Newfoundland and Labrador"
1001394,1011,"Eastern","Newfoundland and Labrador"
1008096,1012,"Central","Newfoundland and Labrador"
1001225,1011,"Eastern","Newfoundland and Labrador"
1008055,1012,"Central","Newfoundland and Labrador"
1001391,1011,"Eastern","Newfoundland and Labrador"
1008073,1012,"Central","Newfoundland and Labrador"
1005005,1013,"Western","Newfoundland and Labrador"
1009039,1014,"Labrador-Grenfell","Newfoundland and Labrador"
1002034,1011,"Eastern","Newfoundland and Labrador"
1003012,1012,"Central","Newfoundland and Labrador"
1008078,1012,"Central","Newfoundland and Labrador"
1101022,1100,"Prince Edward Island","Prince Edward Island"
1102075,1100,"Prince Edward Island","Prince Edward Island"
1101024,1100,"Prince Edward Island","Prince Edward Island"
1102009,1100,"Prince Edward Island","Prince Edward Island"
1102029,1100,"Prince Edward Island","Prince Edward Island"
1102080,1100,"Prince Edward Island","Prince Edward Island"
1102026,1100,"Prince Edward Island","Prince Edward Island"
1102041,1100,"Prince Edward Island","Prince Edward Island"
1103025,1100,"Prince Edward Island","Prince Edward Island"
1101026,1100,"Prince Edward Island","Prince Edward Island"
1102043,1100,"Prince Edward Island","Prince Edward Island"
1101031,1100,"Prince Edward Island","Prince Edward Island"
1103016,1100,"Prince Edward Island","Prince Edward Island"
1103026,1100,"Prince Edward Island","Prince Edward Island"
1103011,1100,"Prince Edward Island","Prince Edward Island"
1103028,1100,"Prince Edward Island","Prince Edward Island"
1103014,1100,"Prince Edward Island","Prince Edward Island"
1103031,1100,"Prince Edward Island","Prince Edward Island"
1102040,1100,"Prince Edward Island","Prince Edward Island"
1103058,1100,"Prince Edward Island","Prince Edward Island"
1103054,1100,"Prince Edward Island","Prince Edward Island"
1103005,1100,"Prince Edward Island","Prince Edward Island"
1103046,1100,"Prince Edward Island","Prince Edward Island"
1103059,1100,"Prince Edward Island","Prince Edward Island"
1103006,1100,"Prince Edward Island","Prince Edward Island"
1103009,1100,"Prince Edward Island","Prince Edward Island"
1103056,1100,"Prince Edward Island","Prince Edward Island"
1102045,1100,"Prince Edward Island","Prince Edward Island"
1103036,1100,"Prince Edward Island","Prince Edward Island"
1103042,1100,"Prince Edward Island","Prince Edward Island"
1103048,1100,"Prince Edward Island","Prince Edward Island"
1103019,1100,"Prince Edward Island","Prince Edward Island"
1103038,1100,"Prince Edward Island","Prince Edward Island"
1103029,1100,"Prince Edward Island","Prince Edward Island"
1102028,1100,"Prince Edward Island","Prince Edward Island"
1103015,1100,"Prince Edward Island","Prince Edward Island"
1103051,1100,"Prince Edward Island","Prince Edward Island"
1103041,1100,"Prince Edward Island","Prince Edward Island"
1101018,1100,"Prince Edward Island","Prince Edward Island"
1101016,1100,"Prince Edward Island","Prince Edward Island"
1103023,1100,"Prince Edward Island","Prince Edward Island"
1101004,1100,"Prince Edward Island","Prince Edward Island"
1102033,1100,"Prince Edward Island","Prince Edward Island"
1103049,1100,"Prince Edward Island","Prince Edward Island"
1101014,1100,"Prince Edward Island","Prince Edward Island"
1103008,1100,"Prince Edward Island","Prince Edward Island"
1102036,1100,"Prince Edward Island","Prince Edward Island"
1102051,1100,"Prince Edward Island","Prince Edward Island"
1101042,1100,"Prince Edward Island","Prince Edward Island"
1103001,1100,"Prince Edward Island","Prince Edward Island"
1103018,1100,"Prince Edward Island","Prince Edward Island"
1103052,1100,"Prince Edward Island","Prince Edward Island"
1103032,1100,"Prince Edward Island","Prince Edward Island"
1102052,1100,"Prince Edward Island","Prince Edward Island"
1102038,1100,"Prince Edward Island","Prince Edward Island"
1103033,1100,"Prince Edward Island","Prince Edward Island"
1103034,1100,"Prince Edward Island","Prince Edward Island"
1101006,1100,"Prince Edward Island","Prince Edward Island"
1102008,1100,"Prince Edward Island","Prince Edward Island"
1101041,1100,"Prince Edward Island","Prince Edward Island"
1102012,1100,"Prince Edward Island","Prince Edward Island"
1102065,1100,"Prince Edward Island","Prince Edward Island"
1101046,1100,"Prince Edward Island","Prince Edward Island"
1102042,1100,"Prince Edward Island","Prince Edward Island"
1101009,1100,"Prince Edward Island","Prince Edward Island"
1101048,1100,"Prince Edward Island","Prince Edward Island"
1102014,1100,"Prince Edward Island","Prince Edward Island"
1101029,1100,"Prince Edward Island","Prince Edward Island"
1101036,1100,"Prince Edward Island","Prince Edward Island"
1101011,1100,"Prince Edward Island","Prince Edward Island"
1102044,1100,"Prince Edward Island","Prince Edward Island"
1102004,1100,"Prince Edward Island","Prince Edward Island"
1101002,1100,"Prince Edward Island","Prince Edward Island"
1102031,1100,"Prince Edward Island","Prince Edward Island"
1102085,1100,"Prince Edward Island","Prince Edward Island"
1101008,1100,"Prince Edward Island","Prince Edward Island"
1101044,1100,"Prince Edward Island","Prince Edward Island"
1102059,1100,"Prince Edward Island","Prince Edward Island"
1102039,1100,"Prince Edward Island","Prince Edward Island"
1101001,1100,"Prince Edward Island","Prince Edward Island"
1102049,1100,"Prince Edward Island","Prince Edward Island"
1101019,1100,"Prince Edward Island","Prince Edward Island"
1101028,1100,"Prince Edward Island","Prince Edward Island"
1101021,1100,"Prince Edward Island","Prince Edward Island"
1102070,1100,"Prince Edward Island","Prince Edward Island"
1101034,1100,"Prince Edward Island","Prince Edward Island"
1102056,1100,"Prince Edward Island","Prince Edward Island"
1102037,1100,"Prince Edward Island","Prince Edward Island"
1101032,1100,"Prince Edward Island","Prince Edward Island"
1102048,1100,"Prince Edward Island","Prince Edward Island"
1102001,1100,"Prince Edward Island","Prince Edward Island"
1102058,1100,"Prince Edward Island","Prince Edward Island"
1101038,1100,"Prince Edward Island","Prince Edward Island"
1102054,1100,"Prince Edward Island","Prince Edward Island"
1102006,1100,"Prince Edward Island","Prince Edward Island"
1101039,1100,"Prince Edward Island","Prince Edward Island"
1103024,1100,"Prince Edward Island","Prince Edward Island"
1103012,1100,"Prince Edward Island","Prince Edward Island"
1102032,1100,"Prince Edward Island","Prince Edward Island"
1102046,1100,"Prince Edward Island","Prince Edward Island"
1101051,1100,"Prince Edward Island","Prince Edward Island"
1101050,1100,"Prince Edward Island","Prince Edward Island"
1101049,1100,"Prince Edward Island","Prince Edward Island"
1103044,1100,"Prince Edward Island","Prince Edward Island"
1103062,1100,"Prince Edward Island","Prince Edward Island"
1103035,1100,"Prince Edward Island","Prince Edward Island"
1102034,1100,"Prince Edward Island","Prince Edward Island"
1103027,1100,"Prince Edward Island","Prince Edward Island"
1102057,1100,"Prince Edward Island","Prince Edward Island"
1102050,1100,"Prince Edward Island","Prince Edward Island"
1103057,1100,"Prince Edward Island","Prince Edward Island"
1102030,1100,"Prince Edward Island","Prince Edward Island"
1207012,1201,"Zone 1 - Western","Nova Scotia"
1210008,1202,"Zone 2 - Northern","Nova Scotia"
1209034,1204,"Zone 4 - Central","Nova Scotia"
1211014,1202,"Zone 2 - Northern","Nova Scotia"
1208001,1204,"Zone 4 - Central","Nova Scotia"
1201006,1201,"Zone 1 - Western","Nova Scotia"
1217030,1203,"Zone 3 - Eastern","Nova Scotia"
1208008,1202,"Zone 2 - Northern","Nova Scotia"
1206009,1201,"Zone 1 - Western","Nova Scotia"
1217020,1203,"Zone 3 - Eastern","Nova Scotia"
1207001,1201,"Zone 1 - Western","Nova Scotia"
1210001,1202,"Zone 2 - Northern","Nova Scotia"
1218001,1203,"Zone 3 - Eastern","Nova Scotia"
1204010,1201,"Zone 1 - Western","Nova Scotia"
1218006,1203,"Zone 3 - Eastern","Nova Scotia"
1217008,1203,"Zone 3 - Eastern","Nova Scotia"
1207021,1201,"Zone 1 - Western","Nova Scotia"
1207024,1201,"Zone 1 - Western","Nova Scotia"
1202004,1201,"Zone 1 - Western","Nova Scotia"
1214006,1203,"Zone 3 - Eastern","Nova Scotia"
1206001,1201,"Zone 1 - Western","Nova Scotia"
1201001,1201,"Zone 1 - Western","Nova Scotia"
1211006,1202,"Zone 2 - Northern","Nova Scotia"
1203006,1201,"Zone 1 - Western","Nova Scotia"
1205016,1201,"Zone 1 - Western","Nova Scotia"
1205009,1201,"Zone 1 - Western","Nova Scotia"
1210012,1202,"Zone 2 - Northern","Nova Scotia"
1215001,1203,"Zone 3 - Eastern","Nova Scotia"
1207002,1201,"Zone 1 - Western","Nova Scotia"
1211009,1202,"Zone 2 - Northern","Nova Scotia"
1211011,1202,"Zone 2 - Northern","Nova Scotia"
1215006,1203,"Zone 3 - Eastern","Nova Scotia"
1207004,1201,"Zone 1 - Western","Nova Scotia"
1206004,1201,"Zone 1 - Western","Nova Scotia"
1203009,1201,"Zone 1 - Western","Nova Scotia"
1212004,1202,"Zone 2 - Northern","Nova Scotia"
1212014,1202,"Zone 2 - Northern","Nova Scotia"
1210006,1202,"Zone 2 - Northern","Nova Scotia"
1215002,1203,"Zone 3 - Eastern","Nova Scotia"
1212006,1202,"Zone 2 - Northern","Nova Scotia"
1212011,1202,"Zone 2 - Northern","Nova Scotia"
1212023,1202,"Zone 2 - Northern","Nova Scotia"
1207016,1201,"Zone 1 - Western","Nova Scotia"
1213004,1203,"Zone 3 - Eastern","Nova Scotia"
1211002,1202,"Zone 2 - Northern","Nova Scotia"
1216014,1203,"Zone 3 - Eastern","Nova Scotia"
1203001,1201,"Zone 1 - Western","Nova Scotia"
