pruid,week_end,PROV_vaxx_AL1D,PROV_vaxx_FULL,province
61,2021-09-04,58780,54730,Northwest Territories
61,2021-09-11,59330,55224,Northwest Territories
61,2021-09-18,59768,55862,Northwest Territories
61,2021-09-25,60164,56350,Northwest Territories
61,2021-10-02,60590,56770,Northwest Territories
61,2021-10-09,61026,57364,Northwest Territories
61,2021-10-16,61434,57850,Northwest Territories
61,2021-10-23,62068,58396,Northwest Territories
61,2021-10-30,62500,58898,Northwest Territories
61,2021-11-06,62914,59468,Northwest Territories
61,2021-11-13,62914,59468,Northwest Territories
61,2021-11-20,63392,60394,Northwest Territories
61,2021-11-27,64010,60846,Northwest Territories
61,2021-12-04,66350,61312,Northwest Territories
61,2021-12-11,67308,61464,Northwest Territories
61,2021-12-18,67782,61812,Northwest Territories
62,2020-12-19,0,0,Nunavut
62,2020-12-26,0,0,Nunavut
62,2021-01-02,0,0,Nunavut
62,2021-01-09,40,0,Nunavut
62,2021-01-16,4282,0,Nunavut
62,2021-01-23,8896,0,Nunavut
62,2021-01-30,10928,0,Nunavut
62,2021-02-06,11676,572,Nunavut
62,2021-02-13,12992,4268,Nunavut
62,2021-02-20,13946,8214,Nunavut
62,2021-02-27,14792,10162,Nunavut
62,2021-03-06,18388,10916,Nunavut
62,2021-03-13,20552,12076,Nunavut
62,2021-03-20,23716,12930,Nunavut
62,2021-03-27,26282,13714,Nunavut
62,2021-04-03,26830,16672,Nunavut
62,2021-04-10,27460,18926,Nunavut
62,2021-04-17,28504,21864,Nunavut
62,2021-04-24,30316,24360,Nunavut
62,2021-05-01,32100,25056,Nunavut
62,2021-05-08,32828,25754,Nunavut
62,2021-05-15,33416,26604,Nunavut
62,2021-05-22,34060,28218,Nunavut
62,2021-05-29,34460,29886,Nunavut
62,2021-06-05,35596,30090,Nunavut
62,2021-06-12,36462,30760,Nunavut
62,2021-06-19,39636,31492,Nunavut
62,2021-06-26,41916,32204,Nunavut
62,2021-07-03,42810,32934,Nunavut
62,2021-07-10,43798,34400,Nunavut
62,2021-07-17,44744,37410,Nunavut
62,2021-07-24,45222,38504,Nunavut
62,2021-07-31,45600,39448,Nunavut
62,2021-08-07,45924,40016,Nunavut
62,2021-08-14,46272,40554,Nunavut
62,2021-08-21,46730,41112,Nunavut
62,2021-08-28,47088,41598,Nunavut
62,2021-09-04,47418,41928,Nunavut
62,2021-09-11,47998,42248,Nunavut
62,2021-09-18,48544,42596,Nunavut
62,2021-09-25,49188,43148,Nunavut
62,2021-10-02,49728,43736,Nunavut
62,2021-10-09,50222,44234,Nunavut
62,2021-10-16,51100,44786,Nunavut
62,2021-10-23,51796,45312,Nunavut
62,2021-10-30,52262,45810,Nunavut
62,2021-11-06,52600,46262,Nunavut
62,2021-11-13,53066,46754,Nunavut
62,2021-11-20,53638,47304,Nunavut
62,2021-11-27,54164,47896,Nunavut
62,2021-12-04,55882,48298,Nunavut
62,2021-12-11,58606,48838,Nunavut
62,2021-12-18,59262,48628,Nunavut
