entry.id,jurisdiction,date.announced,date.implemented,category,type,primary.source.(news.release.or.specific.resource),secondary.source,action,level,indigenous.population.group,who,what,effective.until
NL180,Newfoundland and Labrador,18668,18669,closures/openings,education,https://www.gov.nl.ca/releases/2021/health/0210n09/,Not applicable,Tightening,Regional,FALSE,department of health and community services,announced k–12 and post-secondary schools closed in st. john's metro region,18684
NL136,Newfoundland and Labrador,18514,18514,closures/openings,education,https://www.gov.nl.ca/releases/2020/education/0909n01/,Not applicable,Easing,Provincial/territorial,FALSE,department of education and early childhood development,opened public schools for the first day of classes across the province under scenario 1: k-12 students have near-normal in-person learning with health measures in place. memorial university and college of the north atlantic are providing primarily online learning.,19023
NL123,Newfoundland and Labrador,18438,18438,closures/openings,daycares,https://www.gov.nl.ca/eecd/eecd-covid-19-child-care-information/covid-19-child-care-operations-policy/,Not applicable,Easing,Provincial/territorial,FALSE,department of health and community services,removed capacity limits on child care centres,19023
NL010,Newfoundland and Labrador,18338,18339,closures/openings,education,https://www.mun.ca/covid19/news.php?id=13129&type=news,Not applicable,Tightening,Municipal,FALSE,memorial university,closure of post-secondary education institutions; suspended classes,19023
NL007,Newfoundland and Labrador,18337,18337,closures/openings,daycares,https://www.gov.nl.ca/releases/2020/eecd/0316n04/,Not applicable,Tightening,Provincial/territorial,FALSE,minister of education and early childhood development,regulated child care centres to close,19023
MB166,Manitoba,18473,18513,closures/openings,education,https://news.gov.mb.ca/news/index.html?item=48837,https://winnipeg.ctvnews.ca/anxiety-and-excitement-on-first-day-back-to-school-in-manitoba-1.5096764,Easing,Provincial/territorial,FALSE,government of manitoba,opened public schools for the first day of in-person k-12 classes,19023
MB133,Manitoba,18430,18434,closures/openings,daycares,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,Easing,Provincial/territorial,FALSE,government of manitoba,"child care centres can return to their regular licensed capacity, provided that measures can be taken to comply with guidelines; day camps can operate with a maximum of 50 children",19023
MB025,Manitoba,18336,18344,closures/openings,education,https://news.gov.mb.ca/news/index.html?item=46957,Not applicable,Tightening,Provincial/territorial,FALSE,public health officials,"closure of elementary, middle and high schools; suspension of classes",18364
MB021,Manitoba,18338,18341,closures/openings,daycares,https://news.gov.mb.ca/news/index.html?item=47038,Not applicable,Tightening,Provincial/territorial,FALSE,public health officials,"suspension of licensed child-care centres. this direction does not apply to home-based child care, as they care for a smaller number of children.",19023
MB008,Manitoba,18334,18334,distancing,work from home,https://news.gov.mb.ca/news/?archive=&item=46933,Not applicable,Not applicable,Provincial/territorial,FALSE,public health officials,"promoted review of business continuity plans and steps to ensure their employees can stay home when ill, without facing barriers such as the requirement for sick notes; and work from home if possible",19023
BC203,British Columbia,18515,18515,closures/openings,education,https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Easing,Provincial/territorial,FALSE,ministry of health,opened public schools for the first day of in-person learning; student orientation held between september 10 and 11,19023
BC018,British Columbia,,18338,closures/openings,education,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/childcare-schools,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/reports-publications/covid-19-pho-class-order-mass-gatherings.pdf,Tightening,Provincial/territorial,FALSE,"government of british columbia, provincial health officer","closures of public elementary, middle and high schools. daycares remain open as an essential service.",18412
AB380,Alberta,18796,18809,closures/openings,education,https://www.alberta.ca/release.cfm?xID=7940144E074DD-E72F-4915-342DE21DB9377300,https://www.alberta.ca/covid-19-public-health-actions.aspx,Easing,Provincial/territorial,FALSE,government of alberta,"all provincial restrictions around education (i.e., k–12 learning and post-secondary institutions) were lifted as a part of stage 3 in alberta's open for summer plan",19023
AB368,Alberta,18773,18788,distancing,work from home,https://www.alberta.ca/release.cfm?xID=78245A07B1BCA-D29D-4853-55C609A2834F05E3,https://www.alberta.ca/enhanced-public-health-measures.aspx?utm_source=redirect&utm_medium=all&utm_campaign=Covid19&utm_term=OpenSummer,Easing,Provincial/territorial,FALSE,government of alberta,"announced the work-from-home order to be lifted, but still recommended, in step 2 of alberta's open for summer plan",19023
AB333,Alberta,18751,18752,closures/openings,education,https://www.alberta.ca/release.cfm?xID=780944289E67F-AB21-1393-1723D64CDEC6F61D,Not applicable,Tightening,Regional,FALSE,government of alberta,"for all communities with more than 50 cases per 100,000 people and with 30 or more active cases, announced all post-secondary learning to shift to online learning only",19023
AB271,Alberta,18656,18666,closures/openings,education,https://www.alberta.ca/release.cfm?xID=7716822CAEF42-F51A-C15A-8DA6AA1F5614D257,https://www.alberta.ca/release.cfm?xID=7723016285A7D-C37A-727E-83C1BAE3890EAF25,Easing,Provincial/territorial,FALSE,government of alberta,"permitted k–12 schools to conduct school sport and performance activities off-site, provided they are related to educational activities, up to a maximum of 10 people, with distancing",19023
AB236,Alberta,18604,18609,distancing,work from home,https://www.alberta.ca/release.cfm?xID=75859ADEA5D5E-045D-2386-0CB140C175A800DD,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Tightening,Provincial/territorial,FALSE,government of alberta,"mandated work-from-home order, unless employer requires physical operational effectiveness",18648
AB216,Alberta,18590,18596,closures/openings,education,https://web.archive.org/web/20201125051018/https://www.alberta.ca/enhanced-public-health-measures.aspx,Not applicable,Tightening,Provincial/territorial,FALSE,government of alberta,mandated home learning for k–6 between january 4 and 11 and for grades 7 to 12 between november 20 and january 11 for the entire province of alberta; students who require in-person support that cannot be met through at-home learning are exempt; prohibited all levels of sport at collegiate and university level,18638
AB211,Alberta,18505,18506,closures/openings,education,https://www.alberta.ca/release.cfm?xID=73130C296BA74-CE59-3177-C399E1BBBA2839B7,https://www.alberta.ca/release.cfm?xID=73125B8FC9886-F278-3E78-0D14834E272E4431,Easing,Provincial/territorial,FALSE,chief medical officer of health,announced that public schools would open for the first day of classes across the province. dates vary across school boards.,19023
AB120,Alberta,18395,18414,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Easing,Regional,FALSE,government of alberta,"permitted day camps, including summer school, to resume in the cities of calgary and brooks; facilities may operate with a maximum cohort of 50 people, including staff and children",19023
AB034,Alberta,18336,18336,closures/openings,daycares,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health, premier","licensed child care, out-of-school care and preschool programs are closed.",19023
AB033,Alberta,18336,18336,closures/openings,education,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Tightening,Provincial/territorial,FALSE,"government of alberta, chief medical officer of health, premier","closure of elementary, middle and high schools",19023
AB410,Alberta,18885,18886,distancing,work from home,https://www.alberta.ca/release.cfm?xID=79835371972F5-959C-11E8-8A4B6C2B5B2084EB#jumplinks-0,Not applicable,Tightening,Provincial/territorial,FALSE,government of alberta,"mandated work-from-home order, unless employer requires physical operational effectiveness",19023
ON756,Ontario,18877,18877,closures/openings,education,https://news.ontario.ca/en/release/1000784/students-head-back-to-class-in-safer-schools,Not applicable,Easing,Provincial/territorial,FALSE,ministry of education,opened schools for the 2021–2022 school year with the option of returning to in-person learning for the full school day or synchronous remote learning,19023
